seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
1,S100PS6A,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08665,030,07A000,120,2021-09-25,2022-09-26,2022-12-26 09:00,有価証券報告書（内国投資信託受益証券）－第15期(令和3年9月25日－令和4年9月26日),,,,,,,0,0,0,1,1,1,0
2,S100PEQO,E12460,,7010001054021,野村アセットマネジメント株式会社,G04603,030,07A000,120,2021-10-12,2022-10-11,2022-12-26 09:00,有価証券報告書（内国投資信託受益証券）－第17期(令和3年10月12日－令和4年10月11日),,,,,,,0,0,0,1,1,1,0
3,S100PTY8,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G08415,030,995000,180,,,2022-12-26 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
4,S100PSO5,E02537,,4010001006124,株式会社日教販,,010,030000,120,2021-10-01,2022-09-30,2022-12-26 09:00,有価証券報告書－第74期(令和3年10月1日－令和4年9月30日),,,,,,,0,0,0,1,1,1,0
5,S100PBVT,E12430,,8010401072159,日興アセットマネジメント株式会社,G07763,030,07A000,120,2021-09-25,2022-09-26,2022-12-26 09:00,有価証券報告書（内国投資信託受益証券）－第13期(令和3年9月25日－令和4年9月26日),,,,,,,0,0,0,1,1,1,0
6,S100PTYC,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G14494,030,995000,180,,,2022-12-26 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
7,S100PU59,E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,G11635,030,995000,180,,,2022-12-26 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
8,S100PTIR,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12072,030,07A000,120,2021-09-28,2022-09-26,2022-12-26 09:01,有価証券報告書（内国投資信託受益証券）－第7期(令和3年9月28日－令和4年9月26日),,,,,,,0,0,0,1,1,1,0
9,S100PBVQ,E12430,,8010401072159,日興アセットマネジメント株式会社,G07763,030,04A000,030,,,2022-12-26 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
10,S100PFM1,E12460,,7010001054021,野村アセットマネジメント株式会社,G04420,030,04A000,030,,,2022-12-26 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
11,S100PUGG,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G01629,030,995000,180,,,2022-12-26 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
12,S100PUDN,E04168,,7270001000651,日ノ丸自動車株式会社,,010,050000,160,2022-04-01,2023-03-31,2022-12-26 09:01,半期報告書－第133期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,1,1,0,0
13,S100PEQS,E12460,,7010001054021,野村アセットマネジメント株式会社,G04603,030,04A000,030,,,2022-12-26 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
14,S100PPY8,E12492,,3010001124868,ＨＳＢＣアセットマネジメント株式会社,G04578,030,04A000,030,,,2022-12-26 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
15,S100PTIX,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12091,030,07A000,120,2022-03-26,2022-09-26,2022-12-26 09:01,有価証券報告書（内国投資信託受益証券）－第24期(令和4年3月26日－令和4年9月26日),,,,,,,0,0,0,1,1,1,0
16,S100PUGI,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G03365,030,995000,180,,,2022-12-26 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
17,S100PS7B,E31744,,5010001076579,株式会社ＧＣＩアセット・マネジメント,G11267,030,07A000,120,2021-09-28,2022-09-26,2022-12-26 09:02,有価証券報告書（内国投資信託受益証券）－第7期(令和3年9月28日－令和4年9月26日),,,,,,,0,0,0,1,1,1,0
18,S100PTT1,E13447,,2010401045054,ＳＢＩアセットマネジメント株式会社,G14599,030,995000,180,,,2022-12-26 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
19,S100PTIU,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12091,030,04A000,030,,,2022-12-26 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
20,S100PV52,E02075,67310,6120001106530,株式会社ピクセラ,,010,030000,120,2021-10-01,2022-09-30,2022-12-26 09:02,有価証券報告書－第41期(令和3年10月1日－令和4年9月30日),,,,,,,0,0,0,1,1,1,0
