seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100XKH9,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G02750,030,995000,180,,,2026-02-18 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
2,S100XLSP,E04148,90210,1120001059675,西日本旅客鉄道株式会社,,010,113001,090,,,2026-02-18 09:00,訂正発行登録書,,,,,S100WB40,,0,0,0,0,1,0,0,0,1
3,S100XKJP,E12481,,1010401025734,フィデリティ投信株式会社,G01825,030,07A000,120,2025-05-23,2025-11-25,2026-02-18 09:00,有価証券報告書（内国投資信託受益証券）－第46期(2025/05/23－2025/11/25),,,,,,,0,0,0,1,1,1,0,1,1
4,S100XELC,E12460,,7010001054021,野村アセットマネジメント株式会社,G08756,030,10A000,160,2025-05-21,2026-05-20,2026-02-18 09:00,半期報告書（内国投資信託受益証券）－第14期(2025/05/21－2026/05/20),,,,,,,0,0,0,1,1,0,0,1,1
5,S100X9X3,E12430,,8010401072159,アモーヴァ・アセットマネジメント株式会社,G04276,030,07A000,120,2025-05-20,2025-11-18,2026-02-18 09:00,有価証券報告書（内国投資信託受益証券）－第42期(2025/05/20－2025/11/18),,,,,,,0,0,0,1,1,1,0,1,1
6,S100X9WN,E12430,,8010401072159,アモーヴァ・アセットマネジメント株式会社,G04276,030,04A000,030,,,2026-02-18 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
7,S100XKJT,E12481,,1010401025734,フィデリティ投信株式会社,G01825,030,04A000,030,,,2026-02-18 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
8,S100XELD,E12460,,7010001054021,野村アセットマネジメント株式会社,G08756,030,04A001,040,,,2026-02-18 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100WB6C,,0,0,0,1,1,0,0,1,1
9,S100XHVH,E06748,,2010001049257,大和アセットマネジメント株式会社,G08575,030,07A000,120,2025-05-23,2025-11-25,2026-02-18 09:01,有価証券報告書（内国投資信託受益証券）－第28期(2025/05/23－2025/11/25),,,,,,,0,0,0,1,1,1,0,1,1
10,S100XDR6,E12460,,7010001054021,野村アセットマネジメント株式会社,G14533,030,10A000,160,2025-05-20,2026-05-18,2026-02-18 09:02,半期報告書（内国投資信託受益証券）－第4期(2025/05/20－2026/05/18),,,,,,,0,0,0,1,1,0,0,1,1
11,S100XBN9,E36308,,,栗原　剛,,060,010002,350,,,2026-02-18 09:02,変更報告書,E35766,,,,,,0,0,0,1,1,0,0,1,1
12,S100XDUS,E12460,,7010001054021,野村アセットマネジメント株式会社,G08755,030,10A000,160,2025-05-21,2026-05-20,2026-02-18 09:02,半期報告書（内国投資信託受益証券）－第14期(2025/05/21－2026/05/20),,,,,,,0,0,0,1,1,0,0,1,1
13,S100X9X7,E12430,,8010401072159,アモーヴァ・アセットマネジメント株式会社,G07258,030,07A000,120,2024-11-19,2025-11-18,2026-02-18 09:02,有価証券報告書（内国投資信託受益証券）－第17期(2024/11/19－2025/11/18),,,,,,,0,0,0,1,1,1,0,1,1
14,S100XDPA,E12460,,7010001054021,野村アセットマネジメント株式会社,G02612,030,07A000,120,2024-11-20,2025-11-19,2026-02-18 09:02,有価証券報告書（内国投資信託受益証券）－第64期(2024/11/20－2025/11/19),,,,,,,0,0,0,1,1,1,0,1,1
15,S100XHVK,E06748,,2010001049257,大和アセットマネジメント株式会社,G08575,030,04A000,030,,,2026-02-18 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
16,S100X9X6,E12430,,8010401072159,アモーヴァ・アセットマネジメント株式会社,G07258,030,04A000,030,,,2026-02-18 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
