seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100YQ2G,E12460,,7010001054021,野村アセットマネジメント株式会社,G10877,030,10A000,160,2025-12-09,2026-12-07,2026-08-28 09:00,半期報告書（内国投資信託受益証券）－第12期(2025/12/09－2026/12/07),,,,,,,0,0,0,1,1,0,0,1,1
2,S100YOQ1,E12460,,7010001054021,野村アセットマネジメント株式会社,G10896,030,04A001,040,,,2026-08-28 09:00,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100XDS8,,0,0,0,1,1,1,0,1,1
3,S100YOGZ,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G03145,030,10A000,160,2025-12-02,2026-11-30,2026-08-28 09:00,半期報告書（内国投資信託受益証券）－第25期(2025/12/02－2026/11/30),,,,,,,0,0,0,1,1,0,0,1,1
4,S100YOAJ,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G03144,030,10A000,160,2025-12-02,2026-11-30,2026-08-28 09:00,半期報告書（内国投資信託受益証券）－第25期(2025/12/02－2026/11/30),,,,,,,0,0,0,1,1,0,0,1,1
5,S100YZ78,E31776,61760,4011001035708,株式会社ブランジスタ,,010,053000,180,,,2026-08-28 09:00,臨時報告書,,,,第19条第2項第12号,,,0,0,0,1,1,0,0,1,1
6,S100YQ1S,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G03147,030,10A000,160,2025-12-02,2026-11-30,2026-08-28 09:00,半期報告書（内国投資信託受益証券）－第25期(2025/12/02－2026/11/30),,,,,,,0,0,0,1,1,0,0,1,1
7,S100YOMU,E12460,,7010001054021,野村アセットマネジメント株式会社,G10897,030,10A000,160,2025-12-09,2026-12-07,2026-08-28 09:00,半期報告書（内国投資信託受益証券）－第12期(2025/12/09－2026/12/07),,,,,,,0,0,0,1,1,0,0,1,1
8,S100YY85,E12481,,1010401025734,フィデリティ投信株式会社,G01823,030,07A000,120,2025-12-02,2026-06-01,2026-08-28 09:00,有価証券報告書（内国投資信託受益証券）－第60期(2025/12/02－2026/06/01),,,,,,,0,0,0,1,1,1,0,1,1
9,S100YSCV,E10439,,4010001027269,ピクテ・ジャパン株式会社,G14628,030,10A000,160,2025-12-09,2026-12-07,2026-08-28 09:00,半期報告書（内国投資信託受益証券）－第5期(2025/12/09－2026/12/07),,,,,,,0,0,0,1,1,0,0,1,1
10,S100YRQ4,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08655,030,995000,180,,,2026-08-28 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
