seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100V45K,E12460,,7010001054021,野村アセットマネジメント株式会社,G10134,030,07A000,120,2023-11-28,2024-11-27,2025-02-26 09:00,有価証券報告書（内国投資信託受益証券）－第11期(2023/11/28－2024/11/27),,,,,,,0,0,0,1,1,1,0,1,1
2,S100V9S0,E12481,,1010401025734,フィデリティ投信株式会社,G14231,030,07A000,120,2023-12-01,2024-12-02,2025-02-26 09:00,有価証券報告書（内国投資信託受益証券）－第4期(2023/12/01－2024/12/02),,,,,,,0,0,0,1,1,1,0,1,1
3,S100V9RI,E12481,,1010401025734,フィデリティ投信株式会社,G04912,030,07A000,120,2023-12-01,2024-12-02,2025-02-26 09:00,有価証券報告書（内国投資信託受益証券）－第19期(2023/12/01－2024/12/02),,,,,,,0,0,0,1,1,1,0,1,1
4,S100V44V,E12460,,7010001054021,野村アセットマネジメント株式会社,G09229,030,07A000,120,2024-05-28,2024-11-27,2025-02-26 09:00,有価証券報告書（内国投資信託受益証券）－第23期(2024/05/28－2024/11/27),,,,,,,0,0,0,1,1,1,0,1,1
5,S100V9VP,E12481,,1010401025734,フィデリティ投信株式会社,G01828,030,07A000,120,2023-12-01,2024-12-02,2025-02-26 09:00,有価証券報告書（内国投資信託受益証券）－第27期(2023/12/01－2024/12/02),,,,,,,0,0,0,1,1,1,0,1,1
6,S100V9YD,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G08415,030,995000,180,,,2025-02-26 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
7,S100V45L,E12460,,7010001054021,野村アセットマネジメント株式会社,G10134,030,04A000,030,,,2025-02-26 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
8,S100V98C,E06748,,2010001049257,大和アセットマネジメント株式会社,G04443,030,10A000,160,2024-06-06,2025-06-05,2025-02-26 09:01,半期報告書（内国投資信託受益証券）－第20期(2024/06/06－2025/06/05),,,,,,,0,0,0,1,1,0,0,1,1
9,S100V44W,E12460,,7010001054021,野村アセットマネジメント株式会社,G09229,030,04A000,030,,,2025-02-26 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
10,S100V9RJ,E12481,,1010401025734,フィデリティ投信株式会社,G04912,030,04A000,030,,,2025-02-26 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
11,S100V50S,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G14166,030,10A000,160,2024-05-28,2025-05-27,2025-02-26 09:02,半期報告書（内国投資信託受益証券）－第4期(2024/05/28－2025/05/27),,,,,,,0,0,0,1,1,0,0,1,1
12,S100V4WK,E12460,,7010001054021,野村アセットマネジメント株式会社,G14633,030,07A000,120,2024-06-09,2024-12-08,2025-02-26 09:02,有価証券報告書（内国投資信託受益証券）－第5期(2024/06/09－2024/12/08),,,,,,,0,0,0,1,1,1,0,1,1
13,S100V4TT,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G10392,030,995000,180,,,2025-02-26 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
14,S100V9S2,E12481,,1010401025734,フィデリティ投信株式会社,G14231,030,04A000,030,,,2025-02-26 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
15,S100V9VS,E12481,,1010401025734,フィデリティ投信株式会社,G01828,030,04A000,030,,,2025-02-26 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
16,S100V7HE,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G14166,030,04A001,040,,,2025-02-26 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100U1DA,,0,0,0,1,1,0,0,1,1
17,S100V4WL,E12460,,7010001054021,野村アセットマネジメント株式会社,G14633,030,04A001,040,,,2025-02-26 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100U4L3,,0,0,0,1,1,1,0,1,1
18,S100V4JO,E12460,,7010001054021,野村アセットマネジメント株式会社,G14023,030,10A000,160,2024-05-28,2025-05-27,2025-02-26 09:03,半期報告書（内国投資信託受益証券）－第5期(2024/05/28－2025/05/27),,,,,,,0,0,0,1,1,0,0,1,1
19,S100V4UR,E12460,,7010001054021,野村アセットマネジメント株式会社,G04077,030,10A000,160,2024-05-28,2025-05-27,2025-02-26 09:03,半期報告書（内国投資信託受益証券）－第21期(2024/05/28－2025/05/27),,,,,,,0,0,0,1,1,0,0,1,1
20,S100V98D,E06748,,2010001049257,大和アセットマネジメント株式会社,G04443,030,04A000,030,,,2025-02-26 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
21,S100VADK,E12492,,3010001124868,ＨＳＢＣアセットマネジメント株式会社,G12933,030,995000,180,,,2025-02-26 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
22,S100V9B3,E12460,,7010001054021,野村アセットマネジメント株式会社,G13706,030,995000,180,,,2025-02-26 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
23,S100V9Z8,E35933,,5010001203678,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,G15369,030,995000,180,,,2025-02-26 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
24,S100V4US,E12460,,7010001054021,野村アセットマネジメント株式会社,G04077,030,04A001,040,,,2025-02-26 09:05,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100TZXT,,0,0,0,1,1,0,0,1,1
25,S100V4JP,E12460,,7010001054021,野村アセットマネジメント株式会社,G14023,030,04A001,040,,,2025-02-26 09:05,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100U2Z9,,0,0,0,1,1,0,0,1,1
26,S100V9U3,E12481,,1010401025734,フィデリティ投信株式会社,G03779,030,07A000,120,2023-12-01,2024-12-02,2025-02-26 09:06,有価証券報告書（内国投資信託受益証券）－第21期(2023/12/01－2024/12/02),,,,,,,0,0,0,1,1,1,0,1,1
27,S100V9RV,E12481,,1010401025734,フィデリティ投信株式会社,G01823,030,07A000,120,2024-05-31,2024-12-02,2025-02-26 09:06,有価証券報告書（内国投資信託受益証券）－第57期(2024/05/31－2024/12/02),,,,,,,0,0,0,1,1,1,0,1,1
28,S100V5CH,E12460,,7010001054021,野村アセットマネジメント株式会社,G14632,030,10A000,160,2024-06-09,2025-06-08,2025-02-26 09:06,半期報告書（内国投資信託受益証券）－第3期(2024/06/09－2025/06/08),,,,,,,0,0,0,1,1,0,0,1,1
29,S100VA7K,E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,G11456,030,995000,180,,,2025-02-26 09:06,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
30,S100V9S8,E12481,,1010401025734,フィデリティ投信株式会社,G01827,030,07A000,120,2023-12-01,2024-12-02,2025-02-26 09:06,有価証券報告書（内国投資信託受益証券）－第27期(2023/12/01－2024/12/02),,,,,,,0,0,0,1,1,1,0,1,1
31,S100V5CY,E12460,,7010001054021,野村アセットマネジメント株式会社,G14648,030,07A000,120,2024-06-08,2024-12-07,2025-02-26 09:06,有価証券報告書（内国投資信託受益証券）－第5期(2024/06/08－2024/12/07),,,,,,,0,0,0,1,1,1,0,1,1
32,S100UUOB,E12441,,3010001062358,ＳＢＩ岡三アセットマネジメント株式会社,G04684,030,07A000,120,2023-11-28,2024-11-27,2025-02-26 09:07,有価証券報告書（内国投資信託受益証券）－第19期(2023/11/28－2024/11/27),,,,,,,0,0,0,1,1,1,0,1,1
33,S100V98E,E06748,,2010001049257,大和アセットマネジメント株式会社,G04444,030,10A000,160,2024-06-06,2025-06-05,2025-02-26 09:07,半期報告書（内国投資信託受益証券）－第20期(2024/06/06－2025/06/05),,,,,,,0,0,0,1,1,0,0,1,1
34,S100V5CO,E12460,,7010001054021,野村アセットマネジメント株式会社,G14632,030,04A001,040,,,2025-02-26 09:07,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100U06C,,0,0,0,1,1,1,0,1,1
35,S100V9UB,E12481,,1010401025734,フィデリティ投信株式会社,G03779,030,04A000,030,,,2025-02-26 09:07,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
36,S100V5D0,E12460,,7010001054021,野村アセットマネジメント株式会社,G14648,030,04A001,040,,,2025-02-26 09:08,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100U58Z,,0,0,0,1,1,0,0,1,1
37,S100V9S1,E12481,,1010401025734,フィデリティ投信株式会社,G01823,030,04A000,030,,,2025-02-26 09:08,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
38,S100V9SA,E12481,,1010401025734,フィデリティ投信株式会社,G01827,030,04A000,030,,,2025-02-26 09:09,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
39,S100V98F,E06748,,2010001049257,大和アセットマネジメント株式会社,G04444,030,04A000,030,,,2025-02-26 09:09,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
40,S100V9UP,E12481,,1010401025734,フィデリティ投信株式会社,G01830,030,07A000,120,2023-12-01,2024-12-02,2025-02-26 09:11,有価証券報告書（内国投資信託受益証券）－第27期(2023/12/01－2024/12/02),,,,,,,0,0,0,1,1,1,0,1,1
41,S100V98J,E06748,,2010001049257,大和アセットマネジメント株式会社,G04445,030,10A000,160,2024-06-06,2025-06-05,2025-02-26 09:11,半期報告書（内国投資信託受益証券）－第20期(2024/06/06－2025/06/05),,,,,,,0,0,0,1,1,0,0,1,1
42,S100V9SR,E12481,,1010401025734,フィデリティ投信株式会社,G01832,030,07A000,120,2023-12-01,2024-12-02,2025-02-26 09:12,有価証券報告書（内国投資信託受益証券）－第27期(2023/12/01－2024/12/02),,,,,,,0,0,0,1,1,1,0,1,1
43,S100UUOD,E12441,,3010001062358,ＳＢＩ岡三アセットマネジメント株式会社,G04684,030,04A000,030,,,2025-02-26 09:12,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
44,S100V9SB,E12481,,1010401025734,フィデリティ投信株式会社,G01829,030,07A000,120,2023-12-01,2024-12-02,2025-02-26 09:12,有価証券報告書（内国投資信託受益証券）－第27期(2023/12/01－2024/12/02),,,,,,,0,0,0,1,1,1,0,1,1
45,S100V98K,E06748,,2010001049257,大和アセットマネジメント株式会社,G04445,030,04A000,030,,,2025-02-26 09:13,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
46,S100V9US,E12481,,1010401025734,フィデリティ投信株式会社,G01830,030,04A000,030,,,2025-02-26 09:13,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
47,S100VA68,E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,G15459,030,04A000,030,,,2025-02-26 09:13,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
48,S100V9SW,E12481,,1010401025734,フィデリティ投信株式会社,G01832,030,04A000,030,,,2025-02-26 09:14,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
49,S100V9SE,E12481,,1010401025734,フィデリティ投信株式会社,G01829,030,04A000,030,,,2025-02-26 09:14,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
50,S100V98W,E06748,,2010001049257,大和アセットマネジメント株式会社,G13099,030,10A000,160,2024-06-06,2025-06-05,2025-02-26 09:14,半期報告書（内国投資信託受益証券）－第7期(2024/06/06－2025/06/05),,,,,,,0,0,0,1,1,0,0,1,1
51,S100VA4X,E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,G15457,030,04A000,030,,,2025-02-26 09:14,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
52,S100V6KC,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G10995,030,995000,180,,,2025-02-26 09:15,臨時報告書（内国特定有価証券）,,,,第29条第2項第14号,,,0,0,0,1,1,0,0,1,1
53,S100V9W1,E12481,,1010401025734,フィデリティ投信株式会社,G01831,030,07A000,120,2023-12-01,2024-12-02,2025-02-26 09:15,有価証券報告書（内国投資信託受益証券）－第27期(2023/12/01－2024/12/02),,,,,,,0,0,0,1,1,1,0,1,1
54,S100VASP,E24453,36410,7013301014017,株式会社パピレス,,010,053000,180,,,2025-02-26 09:15,臨時報告書,,,,第19条第2項第4号,,,0,0,0,1,1,0,0,1,1
55,S100V5AM,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G13886,030,10A000,160,2024-05-28,2025-05-26,2025-02-26 09:15,半期報告書（内国投資信託受益証券）－第5期(2024/05/28－2025/05/26),,,,,,,0,0,0,1,1,0,0,1,1
56,S100V1UM,E12481,,1010401025734,フィデリティ投信株式会社,G12514,030,995000,180,,,2025-02-26 09:15,臨時報告書（内国特定有価証券）,,,,第29条第2項第14号,,,0,0,0,1,1,0,0,1,1
57,S100V6KH,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G11002,030,995000,180,,,2025-02-26 09:16,臨時報告書（内国特定有価証券）,,,,第29条第2項第14号,,,0,0,0,1,1,0,0,1,1
58,S100VA4Z,E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,G15458,030,04A000,030,,,2025-02-26 09:16,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
59,S100V990,E06748,,2010001049257,大和アセットマネジメント株式会社,G13099,030,04A000,030,,,2025-02-26 09:16,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
60,S100V6KM,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G11003,030,995000,180,,,2025-02-26 09:16,臨時報告書（内国特定有価証券）,,,,第29条第2項第14号,,,0,0,0,1,1,0,0,1,1
