seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100WL7R,E38660,,,池原　諒平,,060,010002,350,,,2025-08-26 09:00,変更報告書,E40018,,,,S100VLXE,,0,0,0,1,1,0,0,1,1
2,S100VSUQ,E32011,,5010601048309,りそなアセットマネジメント株式会社,G12636,030,07A000,120,2024-05-28,2025-05-26,2025-08-26 09:00,有価証券報告書（内国投資信託受益証券）－第8期(2024/05/28－2025/05/26),,,,,,,0,0,0,1,1,1,0,1,1
3,S100WHJ2,E06748,,2010001049257,大和アセットマネジメント株式会社,G12207,030,10A000,160,2024-12-03,2025-12-01,2025-08-26 09:00,半期報告書（内国投資信託受益証券）－第10期(2024/12/03－2025/12/01),,,,,,,0,0,0,1,1,0,0,1,1
4,S100WF7T,E06458,,6010001024529,ドイチェ・アセット・マネジメント株式会社,G08249,030,07A000,120,2024-11-26,2025-05-26,2025-08-26 09:00,有価証券報告書（内国投資信託受益証券）－第29期(2024/11/26－2025/05/26),,,,,,,0,0,0,1,1,1,0,1,1
5,S100WHHS,E06748,,2010001049257,大和アセットマネジメント株式会社,G13979,030,07A000,120,2024-12-03,2025-06-02,2025-08-26 09:00,有価証券報告書（内国投資信託受益証券）－第9期(2024/12/03－2025/06/02),,,,,,,0,0,0,1,1,1,0,1,1
6,S100WHI4,E06748,,2010001049257,大和アセットマネジメント株式会社,G10094,030,10A000,160,2024-12-03,2025-12-01,2025-08-26 09:01,半期報告書（内国投資信託受益証券）－第12期(2024/12/03－2025/12/01),,,,,,,0,0,0,1,1,0,0,1,1
7,S100WEYI,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G10443,030,995000,180,,,2025-08-26 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
8,S100WKIE,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G14691,030,995000,180,,,2025-08-26 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
9,S100WJUN,E09666,,9010001062807,アムンディ・ジャパン株式会社,G07972,030,995000,180,,,2025-08-26 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
10,S100WK25,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12037,030,07A000,120,2024-11-26,2025-05-26,2025-08-26 09:01,有価証券報告書（内国投資信託受益証券）－第25期(2024/11/26－2025/05/26),,,,,,,0,0,0,1,1,1,0,1,1
11,S100WJKI,E06748,,2010001049257,大和アセットマネジメント株式会社,G15078,030,10A000,160,2024-12-03,2025-12-01,2025-08-26 09:01,半期報告書（内国投資信託受益証券）－第2期(2024/12/03－2025/12/01),,,,,,,0,0,0,1,1,0,0,1,1
12,S100VSUN,E32011,,5010601048309,りそなアセットマネジメント株式会社,G12636,030,04A000,030,,,2025-08-26 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
13,S100WHHT,E06748,,2010001049257,大和アセットマネジメント株式会社,G13979,030,04A000,030,,,2025-08-26 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
14,S100WCWT,E12460,,7010001054021,野村アセットマネジメント株式会社,G02325,030,10A000,160,2024-12-11,2025-12-10,2025-08-26 09:01,半期報告書（内国投資信託受益証券）－第57期(2024/12/11－2025/12/10),,,,,,,0,0,0,1,1,0,0,1,1
15,S100WCDU,E12460,,7010001054021,野村アセットマネジメント株式会社,G09229,030,07A000,120,2024-11-28,2025-05-27,2025-08-26 09:01,有価証券報告書（内国投資信託受益証券）－第24期(2024/11/28－2025/05/27),,,,,,,0,0,0,1,1,1,0,1,1
16,S100WEYM,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G12236,030,995000,180,,,2025-08-26 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
17,S100WHI6,E06748,,2010001049257,大和アセットマネジメント株式会社,G10094,030,04A000,030,,,2025-08-26 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
18,S100WK29,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12037,030,04A000,030,,,2025-08-26 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
19,S100WGRV,E06748,,2010001049257,大和アセットマネジメント株式会社,G01347,030,10A000,160,2024-12-03,2025-12-01,2025-08-26 09:02,半期報告書（内国投資信託受益証券）－第26期(2024/12/03－2025/12/01),,,,,,,0,0,0,1,1,0,0,1,1
