seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100VEQI,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G14972,030,995000,180,,,2025-04-15 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
2,S100VBZW,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G05088,030,995000,180,,,2025-04-15 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
3,S100VCUH,E12460,,7010001054021,野村アセットマネジメント株式会社,G14881,030,10A000,160,2024-07-17,2025-07-15,2025-04-15 09:01,半期報告書（内国投資信託受益証券）－第2期(2024/07/17－2025/07/15),,,,,,,0,0,0,1,1,0,0,1,1
4,S100VEQJ,E10439,,4010001027269,ピクテ・ジャパン株式会社,G08597,030,04A000,030,,,2025-04-15 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
5,S100VEQL,E10439,,4010001027269,ピクテ・ジャパン株式会社,G08597,030,10A000,160,2024-07-17,2025-07-15,2025-04-15 09:02,半期報告書（内国投資信託受益証券）－第64期(2024/07/17－2025/07/15),,,,,,,0,0,0,1,1,0,0,1,1
6,S100VM92,E01714,63280,5010001039024,荏原実業株式会社,,010,170000,220,,,2025-04-15 09:02,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
7,S100V92D,E32151,,6010001169910,ＪＰ投信株式会社,G11559,030,07A000,120,2024-07-17,2025-01-15,2025-04-15 09:02,有価証券報告書（内国投資信託受益証券）－第18期(2024/07/17－2025/01/15),,,,,,,0,0,0,1,1,1,0,1,1
8,S100VM8Q,E00824,42060,6180001033620,アイカ工業株式会社,,010,170000,220,,,2025-04-15 09:02,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
9,S100VKVD,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G13848,030,07A000,120,2024-07-17,2025-01-15,2025-04-15 09:02,有価証券報告書（内国投資信託受益証券）－第9期(2024/07/17－2025/01/15),,,,,,,0,0,0,1,1,1,0,1,1
10,S100VDFO,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08691,030,995000,180,,,2025-04-15 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
11,S100V92C,E32151,,6010001169910,ＪＰ投信株式会社,G11559,030,04A000,030,,,2025-04-15 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
12,S100VEQR,E10439,,4010001027269,ピクテ・ジャパン株式会社,G13535,030,04A000,030,,,2025-04-15 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
13,S100VGLN,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G01060,030,10A000,160,2024-07-17,2025-07-15,2025-04-15 09:03,半期報告書（内国投資信託受益証券）－第27期(2024/07/17－2025/07/15),,,,,,,0,0,0,1,1,0,0,1,1
14,S100VJ0X,E26704,,6010001141324,カレラアセットマネジメント株式会社,G08838,030,07A000,120,2024-07-17,2025-01-15,2025-04-15 09:03,有価証券報告書（内国投資信託受益証券）－第25期(2024/07/17－2025/01/15),,,,,,,0,0,0,1,1,1,0,1,1
15,S100V92H,E32151,,6010001169910,ＪＰ投信株式会社,G12614,030,07A000,120,2024-01-16,2025-01-15,2025-04-15 09:03,有価証券報告書（内国投資信託受益証券）－第8期(2024/01/16－2025/01/15),,,,,,,0,0,0,1,1,1,0,1,1
16,S100VCUJ,E12460,,7010001054021,野村アセットマネジメント株式会社,G14881,030,04A001,040,,,2025-04-15 09:04,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100UCU5,,0,0,0,1,1,1,0,1,1
17,S100VM7L,E39967,260A0,2010601047081,株式会社オルツ,,010,053001,190,,,2025-04-15 09:04,訂正臨時報告書,,,,第19条第2項第2号の2,S100V8DA,,0,0,0,1,1,0,0,1,1
18,S100VKV9,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G13848,030,04A000,030,,,2025-04-15 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
19,S100VEQP,E10439,,4010001027269,ピクテ・ジャパン株式会社,G13535,030,10A000,160,2024-07-17,2025-07-15,2025-04-15 09:04,半期報告書（内国投資信託受益証券）－第6期(2024/07/17－2025/07/15),,,,,,,0,0,0,1,1,0,0,1,1
20,S100VJ0Z,E26704,,6010001141324,カレラアセットマネジメント株式会社,G08838,030,04A001,040,,,2025-04-15 09:04,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100UFIQ,,0,0,0,1,1,1,0,1,1
21,S100V92F,E32151,,6010001169910,ＪＰ投信株式会社,G12614,030,04A000,030,,,2025-04-15 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
