seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100YDVI,E00945,45280,7120001077374,小野薬品工業株式会社,,010,053000,180,,,2026-06-19 09:00,臨時報告書,,,,第19条第2項第9号の2,,,0,0,0,1,1,0,0,1,1
2,S100YEU4,E03784,87060,2010001041478,極東証券株式会社,,010,030000,120,2025-04-01,2026-03-31,2026-06-19 09:00,有価証券報告書－第83期(2025/04/01－2026/03/31),,,,,,,0,0,0,1,1,1,0,1,1
3,S100YD50,E00895,46150,7140001049181,神東塗料株式会社,,010,030000,120,2025-04-01,2026-03-31,2026-06-19 09:00,有価証券報告書－第132期(2025/04/01－2026/03/31),,,,,,,0,0,0,1,1,1,0,1,1
4,S100YDK0,E03557,83370,9040001000020,株式会社千葉興業銀行,,010,030000,120,2025-04-01,2026-03-31,2026-06-19 09:00,有価証券報告書－第104期(2025/04/01－2026/03/31),,,,,,,0,0,0,1,1,1,0,1,1
5,S100Y9LY,E12425,,5010001048652,フランクリン・テンプルトン・ジャパン株式会社,G03803,030,995000,180,,,2026-06-19 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
6,S100YE3Y,E02388,79700,4010001034802,信越ポリマー株式会社,,010,030000,120,2025-04-01,2026-03-31,2026-06-19 09:00,有価証券報告書－第66期(2025/04/01－2026/03/31),,,,,,,0,0,0,1,1,1,0,1,1
7,S100YA46,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G10300,030,07A000,120,2025-09-20,2026-03-19,2026-06-19 09:00,有価証券報告書（内国投資信託受益証券）－第24期(2025/09/20－2026/03/19),,,,,,,0,0,0,1,1,1,0,1,1
8,S100Y9W8,E12453,,9010001025953,ニッセイアセットマネジメント株式会社,G05078,030,07A000,120,2025-09-23,2026-03-23,2026-06-19 09:00,有価証券報告書（内国投資信託受益証券）－第39期(2025/09/23－2026/03/23),,,,,,,0,0,0,1,1,1,0,1,1
9,S100YEU7,E03784,87060,2010001041478,極東証券株式会社,,010,042000,135,,,2026-06-19 09:00,確認書,,,,,,,0,0,0,0,1,0,0,0,1
10,S100Y9T6,E12453,,9010001025953,ニッセイアセットマネジメント株式会社,G15346,030,10A000,160,2025-09-23,2026-09-24,2026-06-19 09:00,半期報告書（内国投資信託受益証券）－第2期(2025/09/23－2026/09/24),,,,,,,0,0,0,1,1,0,0,1,1
