seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100VLO4,E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,G03546,030,995000,180,,,2025-04-23 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
2,S100VFTT,E12460,,7010001054021,野村アセットマネジメント株式会社,G01389,030,10A000,160,2024-07-25,2025-07-24,2025-04-23 09:01,半期報告書（内国投資信託受益証券）－第25期(2024/07/25－2025/07/24),,,,,,,0,0,0,1,1,0,0,1,1
3,S100VCVE,E12460,,7010001054021,野村アセットマネジメント株式会社,G02291,030,07A000,120,2024-07-25,2025-01-24,2025-04-23 09:01,有価証券報告書（内国投資信託受益証券）－第56期(2024/07/25－2025/01/24),,,,,,,0,0,0,1,1,1,0,1,1
4,S100VKPH,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13855,030,07A000,120,2024-07-27,2025-01-27,2025-04-23 09:02,有価証券報告書（内国投資信託受益証券）－第9期(2024/07/27－2025/01/27),,,,,,,0,0,0,1,1,1,0,1,1
5,S100VLO1,E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,G10824,030,995000,180,,,2025-04-23 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
6,S100VKPG,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13855,030,04A000,030,,,2025-04-23 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
7,S100VC1L,E12460,,7010001054021,野村アセットマネジメント株式会社,G10775,030,10A000,160,2024-07-25,2025-07-24,2025-04-23 09:03,半期報告書（内国投資信託受益証券）－第11期(2024/07/25－2025/07/24),,,,,,,0,0,0,1,1,0,0,1,1
8,S100VMMM,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G08961,030,04A000,030,,,2025-04-23 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
9,S100VCVH,E12460,,7010001054021,野村アセットマネジメント株式会社,G02291,030,04A001,040,,,2025-04-23 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100UE7W,,0,0,0,1,1,1,0,1,1
10,S100V928,E12425,,5010001048652,フランクリン・テンプルトン・ジャパン株式会社,G08241,030,07A000,120,2024-07-24,2025-01-23,2025-04-23 09:04,有価証券報告書（内国投資信託受益証券）－第28期(2024/07/24－2025/01/23),,,,,,,0,0,0,1,1,1,0,1,1
11,S100VCRV,E12460,,7010001054021,野村アセットマネジメント株式会社,G03183,030,07A000,120,2024-01-25,2025-01-24,2025-04-23 09:04,有価証券報告書（内国投資信託受益証券）－第23期(2024/01/25－2025/01/24),,,,,,,0,0,0,1,1,1,0,1,1
12,S100VMUV,E04592,96360,1120001005118,株式会社きんえい,,010,030000,120,2024-02-01,2025-01-31,2025-04-23 09:04,有価証券報告書－第128期(2024/02/01－2025/01/31),,,,,,,0,0,0,1,1,1,0,1,1
13,S100VFTV,E12460,,7010001054021,野村アセットマネジメント株式会社,G01389,030,04A001,040,,,2025-04-23 09:04,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100UAZR,,0,0,0,1,1,1,0,1,1
14,S100V926,E12425,,5010001048652,フランクリン・テンプルトン・ジャパン株式会社,G08241,030,04A000,030,,,2025-04-23 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
15,S100VMMQ,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G08961,030,07A000,120,2024-07-24,2025-01-23,2025-04-23 09:04,有価証券報告書（内国投資信託受益証券）－第25期(2024/07/24－2025/01/23),,,,,,,0,0,0,1,1,1,0,1,1
16,S100VMV4,E04592,96360,1120001005118,株式会社きんえい,,015,010000,235,,,2025-04-23 09:05,内部統制報告書－第128期(2024/02/01－2025/01/31),,,,,,,0,0,0,1,1,0,0,1,1
17,S100VKK1,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13854,030,10A000,160,2024-07-27,2025-07-28,2025-04-23 09:05,半期報告書（内国投資信託受益証券）－第5期(2024/07/27－2025/07/28),,,,,,,0,0,0,1,1,0,0,1,1
18,S100VCRW,E12460,,7010001054021,野村アセットマネジメント株式会社,G03183,030,04A000,030,,,2025-04-23 09:05,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
19,S100VMV1,E04592,96360,1120001005118,株式会社きんえい,,010,042000,135,,,2025-04-23 09:05,確認書,,,,,,,0,0,0,0,1,0,0,0,1
20,S100VJ2O,E12460,,7010001054021,野村アセットマネジメント株式会社,G08041,030,10A000,160,2024-07-25,2025-07-24,2025-04-23 09:05,半期報告書（内国投資信託受益証券）－第15期(2024/07/25－2025/07/24),,,,,,,0,0,0,1,1,0,0,1,1
21,S100VMMV,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G10654,030,04A000,030,,,2025-04-23 09:05,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
22,S100VNLJ,E04592,96360,1120001005118,株式会社きんえい,,010,053000,180,,,2025-04-23 09:06,臨時報告書,,,,第19条第2項第9号の2,,,0,0,0,1,1,0,0,1,1
