seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
1,S100PU2F,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11846,030,995000,180,,,2022-12-23 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
2,S100PUO6,E04411,,8290001005441,株式会社　テレビ西日本,,010,050000,160,2022-04-01,2023-03-31,2022-12-23 09:00,半期報告書－第65期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,1,1,0,0
3,S100PT8X,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G13483,030,10A000,160,2022-03-26,2023-03-27,2022-12-23 09:00,半期報告書（内国投資信託受益証券）－第4期(令和4年3月26日－令和5年3月27日),,,,,,,0,0,0,1,1,0,0
4,S100PTMV,E12481,,1010401025734,フィデリティ投信株式会社,G07313,030,07A000,120,2022-03-29,2022-09-27,2022-12-23 09:00,有価証券報告書（内国投資信託受益証券）－第28期(令和4年3月29日－令和4年9月27日),,,,,,,0,0,0,1,1,1,0
5,S100PV08,E35157,70720,4010001154311,株式会社インティメート・マージャー,,010,053000,180,,,2022-12-23 09:00,臨時報告書,,,,第19条第2項第9号の2,,,0,0,0,1,1,0,0
6,S100PUOL,E04411,,8290001005441,株式会社　テレビ西日本,,010,042000,135,,,2022-12-23 09:00,確認書,,,,,,,0,0,0,0,1,0,0
7,S100PPT0,E26704,,6010001141324,カレラアセットマネジメント株式会社,G13525,030,07A000,120,2022-03-26,2022-09-26,2022-12-23 09:00,有価証券報告書（内国投資信託受益証券）－第6期(令和4年3月26日－令和4年9月26日),,,,,,,0,0,0,1,1,1,0
8,S100PHVC,E12460,,7010001054021,野村アセットマネジメント株式会社,G09140,030,07A000,120,2022-03-25,2022-09-26,2022-12-23 09:00,有価証券報告書（内国投資信託受益証券）－第19期(令和4年3月25日－令和4年9月26日),,,,,,,0,0,0,1,1,1,0
9,S100PJ9A,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G13371,030,10A000,160,2022-03-25,2023-03-24,2022-12-23 09:00,半期報告書（内国投資信託受益証券）－第4期(令和4年3月25日－令和5年3月24日),,,,,,,0,0,0,1,1,0,0
10,S100PPT1,E26704,,6010001141324,カレラアセットマネジメント株式会社,G13525,030,04A000,030,,,2022-12-23 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
11,S100PPHN,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G04397,030,995000,180,,,2022-12-23 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
12,S100PUTR,E24736,,,ウエスタン・アセット・マネジメント・カンパニー・リミテッド,G11290,030,10C000,160,2022-04-01,2023-03-31,2022-12-23 09:01,半期報告書（外国投資信託受益証券）－第8期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,0,1,1,0
13,S100PEHD,E12460,,7010001054021,野村アセットマネジメント株式会社,G08731,030,07A000,120,2022-03-25,2022-09-26,2022-12-23 09:01,有価証券報告書（内国投資信託受益証券）－第21期(令和4年3月25日－令和4年9月26日),,,,,,,0,0,0,1,1,1,0
14,S100PTC2,E26704,,6010001141324,カレラアセットマネジメント株式会社,G10435,030,995000,180,,,2022-12-23 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
15,S100PSGY,E12431,,3010001068479,ＢＮＰパリバ・アセットマネジメント株式会社,G05226,030,995000,180,,,2022-12-23 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
