seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100XOYJ,E12460,,7010001054021,野村アセットマネジメント株式会社,G05734,030,07A000,120,2025-07-18,2026-01-19,2026-04-10 09:00,有価証券報告書（内国投資信託受益証券）－第36期(2025/07/18－2026/01/19),,,,,,,0,0,0,1,1,1,0,1,1
2,S100XY1D,E01045,49660,8120001077365,上村工業株式会社,,010,170000,220,,,2026-04-10 09:00,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
3,S100XXSO,E02691,82830,2120001077528,株式会社ＰＡＬＴＡＣ,,010,170000,220,,,2026-04-10 09:00,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
4,S100XXMT,E03575,83660,6160001000993,株式会社滋賀銀行,,010,170000,220,,,2026-04-10 09:00,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
5,S100XR0R,E10439,,4010001027269,ピクテ・ジャパン株式会社,G05684,030,04A000,030,,,2026-04-10 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
6,S100XP3U,E12460,,7010001054021,野村アセットマネジメント株式会社,G04408,030,07A000,120,2025-07-23,2026-01-20,2026-04-10 09:00,有価証券報告書（内国投資信託受益証券）－第41期(2025/07/23－2026/01/20),,,,,,,0,0,0,1,1,1,0,1,1
7,S100XUT6,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G15168,030,07A000,120,2025-07-12,2026-01-11,2026-04-10 09:00,有価証券報告書（内国投資信託受益証券）－第4期(2025/07/12－2026/01/11),,,,,,,0,0,0,1,1,1,0,1,1
8,S100XY1P,E00762,40250,5140001043137,多木化学株式会社,,010,170000,220,,,2026-04-10 09:00,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
9,S100XOG8,E12460,,7010001054021,野村アセットマネジメント株式会社,G12796,030,04A000,030,,,2026-04-10 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
10,S100XLCI,E14415,,2010001066608,シンプレクス・アセット・マネジメント株式会社,G15580,030,07A000,120,2025-07-16,2026-01-12,2026-04-10 09:00,有価証券報告書（内国投資信託受益証券）－第1期(2025/07/16－2026/01/12),,,,,,,0,0,0,1,1,1,0,1,1
