seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
1,S100PVJN,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G14719,030,04A000,030,,,2022-12-28 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
2,S100PFO7,E12460,,7010001054021,野村アセットマネジメント株式会社,G03239,030,10A000,160,2022-04-01,2023-03-31,2022-12-28 09:00,半期報告書（内国投資信託受益証券）－第21期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,1,1,0,0
3,S100PUP6,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G08518,030,995000,180,,,2022-12-28 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
4,S100PTCU,E12425,,5010001048652,フランクリン・テンプルトン・ジャパン株式会社,G14071,030,995000,180,,,2022-12-28 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
5,S100PVWO,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G07265,030,995000,180,,,2022-12-28 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
6,S100PN9T,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G14496,030,10A000,160,2022-03-29,2023-03-27,2022-12-28 09:00,半期報告書（内国投資信託受益証券）－第1期(令和4年3月29日－令和5年3月27日),,,,,,,0,0,0,1,1,0,0
7,S100PLHS,E12460,,7010001054021,野村アセットマネジメント株式会社,G02334,030,07A000,120,2021-09-30,2022-09-29,2022-12-28 09:00,有価証券報告書（内国投資信託受益証券）－第34期(令和3年9月30日－令和4年9月29日),,,,,,,0,0,0,1,1,1,0
8,S100PVAQ,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G07773,030,995000,180,,,2022-12-28 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
9,S100PTPX,E03439,33330,7120001006861,株式会社あさひ,,010,043000,140,2022-08-21,2022-11-20,2022-12-28 09:01,四半期報告書－第48期第3四半期(令和4年8月21日－令和4年11月20日),,,,,,,0,0,0,1,1,0,0
10,S100PLHU,E12460,,7010001054021,野村アセットマネジメント株式会社,G02334,030,04A000,030,,,2022-12-28 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
11,S100PFO8,E12460,,7010001054021,野村アセットマネジメント株式会社,G03239,030,04A001,040,,,2022-12-28 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100O04C,,0,0,0,1,1,1,0
12,S100PV9U,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G03248,030,995000,180,,,2022-12-28 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
13,S100PCPU,E30994,,8010001036852,いちよしアセットマネジメント株式会社,G12664,030,07A000,120,2021-09-29,2022-09-28,2022-12-28 09:01,有価証券報告書（内国投資信託受益証券）－第5期(令和3年9月29日－令和4年9月28日),,,,,,,0,0,0,1,1,1,0
14,S100PTPY,E03439,33330,7120001006861,株式会社あさひ,,010,042000,135,,,2022-12-28 09:01,確認書,,,,,,,0,0,0,0,1,0,0
15,S100PLKO,E12460,,7010001054021,野村アセットマネジメント株式会社,G03089,030,07A000,120,2021-09-30,2022-09-29,2022-12-28 09:01,有価証券報告書（内国投資信託受益証券）－第21期(令和3年9月30日－令和4年9月29日),,,,,,,0,0,0,1,1,1,0
16,S100PFOH,E12460,,7010001054021,野村アセットマネジメント株式会社,G05553,030,10A000,160,2022-04-01,2023-03-31,2022-12-28 09:01,半期報告書（内国投資信託受益証券）－第16期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,1,1,0,0
17,S100PW5A,E00745,23880,7010001085875,株式会社ウェッジホールディングス,,010,053000,180,,,2022-12-28 09:01,臨時報告書,,,,第19条第2項第9号の2,,,0,0,0,1,1,0,0
18,S100PTQ3,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G08260,030,995000,180,,,2022-12-28 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
19,S100PV9W,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G03500,030,995000,180,,,2022-12-28 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
20,S100PLL2,E12460,,7010001054021,野村アセットマネジメント株式会社,G03089,030,04A000,030,,,2022-12-28 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
21,S100PCPS,E30994,,8010001036852,いちよしアセットマネジメント株式会社,G12664,030,04A000,030,,,2022-12-28 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
22,S100POVQ,E12460,,7010001054021,野村アセットマネジメント株式会社,G03377,030,10A000,160,2022-04-01,2023-03-31,2022-12-28 09:02,半期報告書（内国投資信託受益証券）－第21期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,1,1,0,0
23,S100PPOT,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G03250,030,10A000,160,2022-04-01,2023-03-31,2022-12-28 09:02,半期報告書（内国投資信託受益証券）－第22期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,1,1,0,0
24,S100PQEW,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G14306,030,07A000,120,2021-09-30,2022-09-30,2022-12-28 09:02,有価証券報告書（内国投資信託受益証券）－第1期(令和3年9月30日－令和4年9月30日),,,,,,,0,0,0,1,1,1,0
25,S100PVA1,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G03601,030,995000,180,,,2022-12-28 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
26,S100PEPW,E12460,,7010001054021,野村アセットマネジメント株式会社,G03376,030,10A000,160,2022-04-01,2023-03-31,2022-12-28 09:02,半期報告書（内国投資信託受益証券）－第21期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,1,1,0,0
27,S100PVJ9,E06748,,2010001049257,大和アセットマネジメント株式会社,G14733,030,04A000,030,,,2022-12-28 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
28,S100PVZC,E25830,,,クレディ・アグリコル・コーポレート・アンド・インベストメント・バンク,,010,150003,100,,,2022-12-28 09:02,発行登録追補書類,,,,,S100P5CP,,0,0,0,0,1,1,0
29,S100PN9S,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G14496,030,04A001,040,,,2022-12-28 09:02,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100NMJ2,,0,0,0,1,1,0,0
30,S100PPV2,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13563,030,995000,180,,,2022-12-28 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
31,S100PVA2,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G03737,030,995000,180,,,2022-12-28 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
32,S100PUHC,E13447,,2010401045054,ＳＢＩアセットマネジメント株式会社,G14598,030,04A000,030,,,2022-12-28 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
33,S100PLQ6,E12460,,7010001054021,野村アセットマネジメント株式会社,G03375,030,10A000,160,2022-04-01,2023-03-31,2022-12-28 09:03,半期報告書（内国投資信託受益証券）－第21期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,1,1,0,0
34,S100PFOJ,E12460,,7010001054021,野村アセットマネジメント株式会社,G05553,030,04A001,040,,,2022-12-28 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100O5IO,,0,0,0,1,1,0,0
35,S100PN44,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G14504,030,10A000,160,2022-03-29,2023-03-27,2022-12-28 09:03,半期報告書（内国投資信託受益証券）－第1期(令和4年3月29日－令和5年3月27日),,,,,,,0,0,0,1,1,0,0
36,S100PVA3,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G08326,030,995000,180,,,2022-12-28 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
37,S100PQEY,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G14306,030,04A000,030,,,2022-12-28 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
38,S100POVR,E12460,,7010001054021,野村アセットマネジメント株式会社,G03377,030,04A001,040,,,2022-12-28 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100O0GD,,0,0,0,1,1,0,0
39,S100PEPZ,E12460,,7010001054021,野村アセットマネジメント株式会社,G03376,030,04A001,040,,,2022-12-28 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100O3RO,,0,0,0,1,1,0,0
40,S100PSSD,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G03014,030,07A000,120,2021-10-01,2022-09-30,2022-12-28 09:03,有価証券報告書（内国投資信託受益証券）－第21期(令和3年10月1日－令和4年9月30日),,,,,,,0,0,0,1,1,1,0
41,S100PLQD,E12460,,7010001054021,野村アセットマネジメント株式会社,G03375,030,04A001,040,,,2022-12-28 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100O04P,,0,0,0,1,1,0,0
42,S100PVA4,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G10355,030,995000,180,,,2022-12-28 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
43,S100PBW3,E12430,,8010401072159,日興アセットマネジメント株式会社,G02538,030,04A000,030,,,2022-12-28 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
44,S100PSTV,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G14524,030,995000,180,,,2022-12-28 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
45,S100PFOA,E12460,,7010001054021,野村アセットマネジメント株式会社,G03387,030,10A000,160,2022-04-01,2023-03-31,2022-12-28 09:04,半期報告書（内国投資信託受益証券）－第21期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,1,1,0,0
46,S100PVA5,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G10397,030,995000,180,,,2022-12-28 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
47,S100PLRJ,E12460,,7010001054021,野村アセットマネジメント株式会社,G14345,030,10A000,160,2022-04-01,2023-03-31,2022-12-28 09:04,半期報告書（内国投資信託受益証券）－第2期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,1,1,0,0
48,S100PPKM,E12460,,7010001054021,野村アセットマネジメント株式会社,G05557,030,10A000,160,2022-04-01,2023-03-31,2022-12-28 09:04,半期報告書（内国投資信託受益証券）－第16期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,1,1,0,0
49,S100PSSC,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G03014,030,04A000,030,,,2022-12-28 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
50,S100PVMA,E00844,,2030001075813,太平化学製品株式会社,,010,050000,160,2022-04-01,2023-03-31,2022-12-28 09:04,半期報告書－第122期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,1,1,0,0
51,S100PEQ3,E12460,,7010001054021,野村アセットマネジメント株式会社,G05555,030,10A000,160,2022-04-01,2023-03-31,2022-12-28 09:04,半期報告書（内国投資信託受益証券）－第16期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,1,1,0,0
52,S100PVA7,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G10409,030,995000,180,,,2022-12-28 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
53,S100PR69,E12430,,8010401072159,日興アセットマネジメント株式会社,G02966,030,995000,180,,,2022-12-28 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
54,S100PLRM,E12460,,7010001054021,野村アセットマネジメント株式会社,G14345,030,04A000,030,,,2022-12-28 09:05,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
