seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100VTQS,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G13941,030,07A000,120,2024-03-12,2025-03-10,2025-06-10 09:00,有価証券報告書（内国投資信託受益証券）－第5期(2024/03/12－2025/03/10),,,,,,,0,0,0,1,1,1,0,1,1
2,S100VVVP,E01920,65860,2180301013342,株式会社マキタ,,010,170000,220,,,2025-06-10 09:00,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
3,S100VNFG,E30689,,4010001158535,あおぞら投信株式会社,G10811,030,07A000,120,2024-09-11,2025-03-10,2025-06-10 09:00,有価証券報告書（内国投資信託受益証券）－第20期(2024/09/11－2025/03/10),,,,,,,0,0,0,1,1,1,0,1,1
4,S100VP7V,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G15159,030,07A000,120,2024-03-26,2025-03-11,2025-06-10 09:01,有価証券報告書（内国投資信託受益証券）－第1期(2024/03/26－2025/03/11),,,,,,,0,0,0,1,1,1,0,1,1
5,S100VN6Z,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08656,030,07A000,120,2024-09-11,2025-03-10,2025-06-10 09:01,有価証券報告書（内国投資信託受益証券）－第38期(2024/09/11－2025/03/10),,,,,,,0,0,0,1,1,1,0,1,1
6,S100VNFI,E30689,,4010001158535,あおぞら投信株式会社,G10811,030,04A000,030,,,2025-06-10 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
7,S100VUX9,E13447,,2010401045054,ＳＢＩアセットマネジメント株式会社,G14466,030,07A000,120,2024-03-12,2025-03-10,2025-06-10 09:01,有価証券報告書（内国投資信託受益証券）－第3期(2024/03/12－2025/03/10),,,,,,,0,0,0,1,1,1,0,1,1
8,S100VV95,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11811,030,07A000,120,2024-09-11,2025-03-10,2025-06-10 09:02,有価証券報告書（内国投資信託受益証券）－第58期(2024/09/11－2025/03/10),,,,,,,0,0,0,1,1,1,0,1,1
9,S100VSYY,E06748,,2010001049257,大和アセットマネジメント株式会社,G03732,030,07A000,120,2024-09-18,2025-03-17,2025-06-10 09:02,有価証券報告書（内国投資信託受益証券）－第43期(2024/09/18－2025/03/17),,,,,,,0,0,0,1,1,1,0,1,1
10,S100VJOS,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08660,030,07A000,120,2024-09-11,2025-03-10,2025-06-10 09:02,有価証券報告書（内国投資信託受益証券）－第36期(2024/09/11－2025/03/10),,,,,,,0,0,0,1,1,1,0,1,1
