seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
153,S100PQ21,E36713,76990,,オムニ・プラス・システム・リミテッド,,010,092000,135,,,2022-12-08 15:03,確認書－第21期(令和4年7月1日－令和4年9月30日),,,,,,,0,0,0,0,1,1,0
154,S100PRK6,E38111,,,森　遼太,,060,090001,360,,,2022-12-08 15:06,訂正報告書（大量保有報告書・変更報告書）,E38008,,,,S100PFIR,,0,0,0,1,1,0,0
155,S100PRK8,E38112,,,永田　基樹,,060,090001,360,,,2022-12-08 15:07,訂正報告書（大量保有報告書・変更報告書）,E38008,,,,S100PFSW,,0,0,0,1,1,0,0
156,S100PQIU,E00520,30020,7130001041734,グンゼ株式会社,,010,170000,220,,,2022-12-08 15:07,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0
157,S100PRC4,E38113,,,小代　愛,,060,090001,360,,,2022-12-08 15:08,訂正報告書（大量保有報告書・変更報告書）,E38008,,,,S100PPRN,,0,0,0,1,1,0,0
158,S100PRJS,E38110,,,小代　義行,,060,090001,360,,,2022-12-08 15:08,訂正報告書（大量保有報告書・変更報告書）,E38008,,,,S100PPQG,,0,0,0,1,1,0,0
159,S100PRR7,E31336,39080,6010001076248,株式会社コラボス,,010,170000,220,,,2022-12-08 15:08,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0
160,S100PRJT,E38110,,,小代　義行,,060,090001,360,,,2022-12-08 15:09,訂正報告書（大量保有報告書・変更報告書）,E38008,,,,S100PFUB,,0,0,0,1,1,0,0
161,S100PQZL,E35239,,2010001143423,光通信株式会社,,060,010002,350,,,2022-12-08 15:11,変更報告書,E31379,,,,S100K2WT,,0,0,0,1,1,1,0
162,S100PRUU,E04371,,4180001056169,中日本高速道路株式会社,,010,110000,080,,,2022-12-08 15:15,発行登録書（株券､社債券等）,,,,,,,0,0,0,1,1,1,0
163,S100PRUF,E05312,23350,4010701002678,株式会社キューブシステム,,010,022000,030,,,2022-12-08 15:15,有価証券届出書（組込方式）,,,,,,,0,0,0,1,1,1,0
164,S100PRL3,E01032,79270,8200001007025,ムトー精工株式会社,,010,170000,220,,,2022-12-08 15:16,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0
165,S100PRR3,E25234,36080,3010001140386,株式会社ＴＳＩホールディングス,,010,170000,220,,,2022-12-08 15:17,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0
166,S100PRL7,E00944,45300,7300001006281,久光製薬株式会社,,010,170000,220,,,2022-12-08 15:21,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0
167,S100PRTH,E31093,39040,7021001010079,株式会社カヤック,,060,010000,350,,,2022-12-08 15:23,大量保有報告書,E38155,,,,,,0,0,0,1,1,0,0
168,S100PRV2,E03938,88440,2010401094621,株式会社コスモスイニシア,,010,170000,220,,,2022-12-08 15:25,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0
