seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100VS9Q,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G01428,030,10A000,160,2024-08-30,2025-08-29,2025-05-28 09:00,半期報告書（内国投資信託受益証券）－第25期(2024/08/30－2025/08/29),,,,,,,0,0,0,1,1,0,0,1,1
2,S100VRPK,E12425,,5010001048652,フランクリン・テンプルトン・ジャパン株式会社,G10276,030,995000,180,,,2025-05-28 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
3,S100VMR0,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G05636,030,995000,180,,,2025-05-28 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
4,S100VS39,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G05673,030,04A001,040,,,2025-05-28 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100V9GQ,,0,0,0,1,1,0,0,1,1
5,S100VS9V,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G13373,030,07A000,120,2024-08-30,2025-02-28,2025-05-28 09:01,有価証券報告書（内国投資信託受益証券）－第12期(2024/08/30－2025/02/28),,,,,,,0,0,0,1,1,1,0,1,1
6,S100VRP6,E12425,,5010001048652,フランクリン・テンプルトン・ジャパン株式会社,G15019,030,995000,180,,,2025-05-28 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
7,S100VMQQ,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G14686,030,995000,180,,,2025-05-28 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
8,S100VTKY,E05493,24450,5120001102126,株式会社タカミヤ,,010,053000,180,,,2025-05-28 09:01,臨時報告書,,,,第19条第2項第9号の4,,,0,0,0,1,1,0,0,1,1
9,S100VS9S,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G13373,030,04A000,030,,,2025-05-28 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
10,S100VP48,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G12978,030,995000,180,,,2025-05-28 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
11,S100VS9P,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G01428,030,04A000,030,,,2025-05-28 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
12,S100VM0O,E12460,,7010001054021,野村アセットマネジメント株式会社,G14813,030,07A000,120,2024-09-08,2025-03-07,2025-05-28 09:03,有価証券報告書（内国投資信託受益証券）－第4期(2024/09/08－2025/03/07),,,,,,,0,0,0,1,1,1,0,1,1
13,S100VTTR,E04941,97780,7340001002293,株式会社昴,,010,030000,120,2024-03-01,2025-02-28,2025-05-28 09:03,有価証券報告書－第67期(2024/03/01－2025/02/28),,,,,,,0,0,0,1,1,1,0,1,1
14,S100VRPG,E32151,,6010001169910,ＪＰ投信株式会社,G11559,030,995000,180,,,2025-05-28 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
15,S100VMR3,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08655,030,995000,180,,,2025-05-28 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
16,S100VR1M,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13065,030,995000,180,,,2025-05-28 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
