seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
1,S100PN7C,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11819,030,10A000,160,2022-02-25,2023-02-24,2022-11-24 09:00,半期報告書（内国投資信託受益証券）－第23期(令和4年2月25日－令和5年2月24日),,,,,,,0,0,0,1,1,0,0
2,S100PAXK,E12460,,7010001054021,野村アセットマネジメント株式会社,G05216,030,10A000,160,2022-03-01,2023-02-27,2022-11-24 09:00,半期報告書（内国投資信託受益証券）－第16期(令和4年3月1日－令和5年2月27日),,,,,,,0,0,0,1,1,0,0
3,S100PAA4,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G04101,030,07A000,120,2021-08-26,2022-08-25,2022-11-24 09:00,有価証券報告書（内国投資信託受益証券）－第18期(令和3年8月26日－令和4年8月25日),,,,,,,0,0,0,1,1,1,0
4,S100PBJ8,E12460,,7010001054021,野村アセットマネジメント株式会社,G02270,030,04A000,030,,,2022-11-24 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
5,S100PBJ6,E12460,,7010001054021,野村アセットマネジメント株式会社,G02270,030,07A000,120,2022-03-01,2022-08-29,2022-11-24 09:01,有価証券報告書（内国投資信託受益証券）－第53期(令和4年3月1日－令和4年8月29日),,,,,,,0,0,0,1,1,1,0
6,S100PAA6,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G04101,030,04A000,030,,,2022-11-24 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
7,S100PAXL,E12460,,7010001054021,野村アセットマネジメント株式会社,G05216,030,04A001,040,,,2022-11-24 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100NWVZ,,0,0,0,1,1,0,0
8,S100PDWK,E12460,,7010001054021,野村アセットマネジメント株式会社,G03087,030,04A000,030,,,2022-11-24 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
9,S100PNQG,E14601,,2010401079382,ＰａｙＰａｙアセットマネジメント株式会社,G13514,030,07A000,120,2022-02-26,2022-08-25,2022-11-24 09:01,有価証券報告書（内国投資信託受益証券）－第6期(令和4年2月26日－令和4年8月25日),,,,,,,0,0,0,1,1,1,0
10,S100PHAX,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G09097,030,04A000,030,,,2022-11-24 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
