seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100VBU0,E01081,,2010001133878,ＪＸ金属株式会社,,010,024001,040,,,2025-03-03 09:00,訂正有価証券届出書（新規公開時）,,,,,S100V8VP,,0,0,0,1,1,1,0,1,1
2,S100VBU1,E01081,,2010001133878,ＪＸ金属株式会社,,010,053001,190,,,2025-03-03 09:00,訂正臨時報告書,,,,第19条第2項第1号,S100V8VU,,0,0,0,1,1,1,0,1,1
3,S100V9VK,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13285,030,995000,180,,,2025-03-03 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
4,S100V9JC,E12425,,5010001048652,フランクリン・テンプルトン・ジャパン株式会社,G10276,030,995000,180,,,2025-03-03 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
5,S100VAD3,E12460,,7010001054021,野村アセットマネジメント株式会社,G13145,030,995000,180,,,2025-03-03 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
6,S100VBSF,E36671,,,冨塚　優,,060,010002,350,,,2025-03-03 09:01,変更報告書,E33595,,,,,,0,0,0,1,1,1,0,1,1
7,S100V9JA,E32011,,5010601048309,りそなアセットマネジメント株式会社,G15014,030,995000,180,,,2025-03-03 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
8,S100V9JE,E32011,,5010601048309,りそなアセットマネジメント株式会社,G15380,030,995000,180,,,2025-03-03 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
9,S100VASK,E40508,,9240005015886,一般社団法人ヨコタ,,060,010000,350,,,2025-03-03 09:03,大量保有報告書,E27530,,,,,,0,0,0,1,1,0,0,1,1
10,S100V9JB,E32011,,5010601048309,りそなアセットマネジメント株式会社,G15382,030,995000,180,,,2025-03-03 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
