seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100XZXO,E12460,,7010001054021,野村アセットマネジメント株式会社,G05711,030,995000,180,,,2026-04-30 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
2,S100Y0TE,E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,G12140,030,995000,180,,,2026-04-30 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
3,S100Y01O,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G05011,030,10A000,160,2025-08-01,2026-07-31,2026-04-30 09:00,半期報告書（内国投資信託受益証券）－第20期(2025/08/01－2026/07/31),,,,,,,0,0,0,1,1,0,0,1,1
4,S100Y1HU,E32579,,,五味　大輔,,060,010002,350,,,2026-04-30 09:00,変更報告書,E00981,,,,S100OR47,,0,0,0,1,1,0,0,1,1
5,S100Y18I,E38738,58880,4122001021471,ＤＡＩＷＡ　ＣＹＣＬＥ株式会社,,010,053000,180,,,2026-04-30 09:00,臨時報告書,,,,第19条第2項第9号の2,,,0,0,0,1,1,0,0,1,1
6,S100XP2E,E12460,,7010001054021,野村アセットマネジメント株式会社,G15739,030,07A000,120,2025-12-12,2026-01-30,2026-04-30 09:00,有価証券報告書（内国投資信託受益証券）－第1期(2025/12/12－2026/01/30),,,,,,,0,0,0,1,1,1,0,1,1
7,S100XLH7,E12586,,6010001077097,シュローダー・インベストメント・マネジメント株式会社,G04765,030,07A000,120,2025-07-31,2026-01-30,2026-04-30 09:00,有価証券報告書（内国投資信託受益証券）－第40期(2025/07/31－2026/01/30),,,,,,,0,0,0,1,1,1,0,1,1
8,S100XYDR,E32021,,,グローバル・オポチュニティーズ・アクセス,G11467,030,10D000,160,2025-08-01,2026-07-31,2026-04-30 09:01,半期報告書（外国投資証券）－第19期(2025/08/01－2026/07/31),,,,,,,0,0,0,0,1,1,0,0,1
9,S100XRWY,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G08599,030,07A000,120,2025-08-01,2026-02-02,2026-04-30 09:01,有価証券報告書（内国投資信託受益証券）－第28期(2025/08/01－2026/02/02),,,,,,,0,0,0,1,1,1,0,1,1
10,S100XLH3,E12586,,6010001077097,シュローダー・インベストメント・マネジメント株式会社,G04765,030,04A000,030,,,2026-04-30 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
11,S100XP2F,E12460,,7010001054021,野村アセットマネジメント株式会社,G15739,030,04A001,040,,,2026-04-30 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100X5IT,,0,0,0,1,1,1,0,1,1
12,S100XYDS,E32021,,,グローバル・オポチュニティーズ・アクセス,G11467,030,04D001,040,,,2026-04-30 09:01,訂正有価証券届出書（外国投資証券）,,,,,S100XFJC,,0,0,0,0,1,0,0,0,1
13,S100Y01R,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G05011,030,04A000,030,,,2026-04-30 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
14,S100XZXB,E06748,,2010001049257,大和アセットマネジメント株式会社,G03442,030,995000,180,,,2026-04-30 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
15,S100XU91,E12460,,7010001054021,野村アセットマネジメント株式会社,G11027,030,04A000,030,,,2026-04-30 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
16,S100XZO0,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G15573,030,10A000,160,2025-07-31,2026-06-22,2026-04-30 09:02,半期報告書（内国投資信託受益証券）－第1期(2025/07/31－2026/06/22),,,,,,,0,0,0,1,1,0,0,1,1
17,S100XZXD,E06748,,2010001049257,大和アセットマネジメント株式会社,G04470,030,995000,180,,,2026-04-30 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
18,S100Y0QT,E13447,,2010401045054,ＳＢＩアセットマネジメント株式会社,G15533,030,995000,180,,,2026-04-30 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
19,S100XU90,E12460,,7010001054021,野村アセットマネジメント株式会社,G11027,030,07A000,120,2025-08-08,2026-02-09,2026-04-30 09:03,有価証券報告書（内国投資信託受益証券）－第22期(2025/08/08－2026/02/09),,,,,,,0,0,0,1,1,1,0,1,1
20,S100Y05A,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12009,030,10A000,160,2025-08-01,2026-07-31,2026-04-30 09:03,半期報告書（内国投資信託受益証券）－第19期(2025/08/01－2026/07/31),,,,,,,0,0,0,1,1,0,0,1,1
21,S100XLD9,E14415,,2010001066608,シンプレクス・アセット・マネジメント株式会社,G05740,030,10A000,160,2025-08-01,2026-07-31,2026-04-30 09:03,半期報告書（内国投資信託受益証券）－第19期(2025/08/01－2026/07/31),,,,,,,0,0,0,1,1,0,0,1,1
