seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100XTA4,E06748,,2010001049257,大和アセットマネジメント株式会社,G04470,030,07A000,120,2025-07-16,2026-01-15,2026-04-08 09:00,有価証券報告書（内国投資信託受益証券）－第41期(2025/07/16－2026/01/15),,,,,,,0,0,0,1,1,1,0,1,1
2,S100XLJ5,E14415,,2010001066608,シンプレクス・アセット・マネジメント株式会社,G08209,030,10A000,160,2025-07-09,2026-07-08,2026-04-08 09:00,半期報告書（内国投資信託受益証券）－第16期(2025/07/09－2026/07/08),,,,,,,0,0,0,1,1,0,0,1,1
3,S100XU3P,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13295,030,04A001,040,,,2026-04-08 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100X7A5,,0,0,0,1,1,1,0,1,1
4,S100XLJ1,E14415,,2010001066608,シンプレクス・アセット・マネジメント株式会社,G08209,030,04A000,030,,,2026-04-08 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
5,S100XTA6,E06748,,2010001049257,大和アセットマネジメント株式会社,G04470,030,04A000,030,,,2026-04-08 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
6,S100XXJZ,E40410,,4010001251216,シー・シックス・エイト株式会社,,060,010000,350,,,2026-04-08 09:01,大量保有報告書,E34487,,,,,,0,0,0,1,1,0,0,1,1
7,S100XW2G,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12770,030,07A000,120,2025-07-09,2026-01-08,2026-04-08 09:01,有価証券報告書（内国投資信託受益証券）－第17期(2025/07/09－2026/01/08),,,,,,,0,0,0,1,1,1,0,1,1
8,S100XLC4,E14415,,2010001066608,シンプレクス・アセット・マネジメント株式会社,G08570,030,10A000,160,2025-07-09,2026-07-08,2026-04-08 09:02,半期報告書（内国投資信託受益証券）－第15期(2025/07/09－2026/07/08),,,,,,,0,0,0,1,1,0,0,1,1
9,S100XXDY,E35943,,,グランサム、マヨ、ヴァン　オッテルロー　アンド　カンパニー　エルエルシー,,060,010002,350,,,2026-04-08 09:02,変更報告書,E27260,,,,,,0,0,0,1,1,1,0,1,1
10,S100XPU5,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G08784,030,995000,180,,,2026-04-08 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
