seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100VOBX,E40597,,,今村　邦之,,060,010000,350,,,2025-04-28 09:00,大量保有報告書,E40610,,,,,,0,0,0,1,1,0,0,1,1
2,S100VCT3,E12460,,7010001054021,野村アセットマネジメント株式会社,G10081,030,07A000,120,2024-02-14,2025-02-10,2025-04-28 09:00,有価証券報告書（内国投資信託受益証券）－第12期(2024/02/14－2025/02/10),,,,,,,0,0,0,1,1,1,0,1,1
3,S100VJVZ,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08654,030,995000,180,,,2025-04-28 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
4,S100VCVM,E12460,,7010001054021,野村アセットマネジメント株式会社,G11027,030,07A000,120,2024-08-08,2025-02-07,2025-04-28 09:00,有価証券報告書（内国投資信託受益証券）－第20期(2024/08/08－2025/02/07),,,,,,,0,0,0,1,1,1,0,1,1
5,S100VMM5,E12473,,4010001031576,ＵＢＳアセット・マネジメント株式会社,G13912,030,995000,180,,,2025-04-28 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
6,S100VN42,E06748,,2010001049257,大和アセットマネジメント株式会社,G12608,030,07A000,120,2024-08-07,2025-02-06,2025-04-28 09:00,有価証券報告書（内国投資信託受益証券）－第15期(2024/08/07－2025/02/06),,,,,,,0,0,0,1,1,1,0,1,1
7,S100VJHW,E26491,,6260001004357,中銀アセットマネジメント株式会社,G10756,030,07A000,120,2024-01-30,2025-01-29,2025-04-28 09:00,有価証券報告書（内国投資信託受益証券）－第10期(2024/01/30－2025/01/29),,,,,,,0,0,0,1,1,1,0,1,1
8,S100VN4C,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G14247,030,10A000,160,2024-07-30,2025-07-28,2025-04-28 09:00,半期報告書（内国投資信託受益証券）－第3期(2024/07/30－2025/07/28),,,,,,,0,0,0,1,1,0,0,1,1
9,S100VL00,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G14867,030,10A000,160,2024-07-30,2025-07-28,2025-04-28 09:01,半期報告書（内国投資信託受益証券）－第2期(2024/07/30－2025/07/28),,,,,,,0,0,0,1,1,0,0,1,1
10,S100VIUX,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08998,030,995000,180,,,2025-04-28 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
11,S100VMVY,E12473,,4010001031576,ＵＢＳアセット・マネジメント株式会社,G15314,030,04A001,040,,,2025-04-28 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100U8Z3,,0,0,0,1,1,1,0,1,1
12,S100VCVP,E12460,,7010001054021,野村アセットマネジメント株式会社,G11027,030,04A000,030,,,2025-04-28 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
13,S100VJP6,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G09199,030,995000,180,,,2025-04-28 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
14,S100VNRP,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11877,030,995000,180,,,2025-04-28 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
15,S100VJQU,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G15168,030,995000,180,,,2025-04-28 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
16,S100VJI3,E26491,,6260001004357,中銀アセットマネジメント株式会社,G10756,030,04A000,030,,,2025-04-28 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
17,S100VIV5,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G14094,030,995000,180,,,2025-04-28 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
18,S100VCT4,E12460,,7010001054021,野村アセットマネジメント株式会社,G10081,030,04A000,030,,,2025-04-28 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
19,S100VNKS,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G10966,030,04A001,040,,,2025-04-28 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100V1YZ,,0,0,0,1,1,1,0,1,1
