seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
1,S100PEOZ,E12460,,7010001054021,野村アセットマネジメント株式会社,G02276,030,07A000,120,2022-03-29,2022-09-28,2022-12-27 09:00,有価証券報告書（内国投資信託受益証券）－第55期(令和4年3月29日－令和4年9月28日),,,,,,,0,0,0,1,1,1,0
2,S100PU9F,E14703,,8010001014858,キャピタル・インターナショナル株式会社,G09454,030,995000,180,,,2022-12-27 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
3,S100PSYD,E12963,,2010401034817,ステート・ストリート・グローバル・アドバイザーズ株式会社,G08271,030,995000,180,,,2022-12-27 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
4,S100PVUR,E03485,30670,4011101033768,株式会社東京一番フーズ,,010,030000,120,2021-10-01,2022-09-30,2022-12-27 09:01,有価証券報告書－第24期(令和3年10月1日－令和4年9月30日),,,,,,,0,0,0,1,1,1,0
5,S100PEP0,E12460,,7010001054021,野村アセットマネジメント株式会社,G02276,030,04A000,030,,,2022-12-27 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
6,S100PTZD,E06748,,2010001049257,大和アセットマネジメント株式会社,G13827,030,995000,180,,,2022-12-27 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
7,S100PUU0,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G04966,030,995000,180,,,2022-12-27 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
8,S100PV4W,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G14731,030,04A000,030,,,2022-12-27 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
9,S100PBWH,E11348,,3010001028755,ベアリングス・ジャパン株式会社,G02386,030,10A000,160,2022-03-29,2023-03-27,2022-12-27 09:01,半期報告書（内国投資信託受益証券）－第27期(令和4年3月29日－令和5年3月27日),,,,,,,0,0,0,1,1,0,0
10,S100PTSB,E12447,,9011301011486,朝日ライフ　アセットマネジメント株式会社,G11443,030,995000,180,,,2022-12-27 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
11,S100PFP1,E12460,,7010001054021,野村アセットマネジメント株式会社,G04607,030,04A000,030,,,2022-12-27 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
12,S100PLFG,E12460,,7010001054021,野村アセットマネジメント株式会社,G03967,030,04A001,040,,,2022-12-27 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100O0GO,,0,0,0,1,1,1,0
13,S100POHN,E12460,,7010001054021,野村アセットマネジメント株式会社,G03024,030,04A000,030,,,2022-12-27 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
14,S100PUU2,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11162,030,995000,180,,,2022-12-27 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
15,S100PVVS,E22760,,,ＨＳＢＣグローバル・インベストメント・ファンド,G07453,030,10D000,160,2022-04-01,2023-03-31,2022-12-27 09:01,半期報告書（外国投資証券）－第37期(令和4年4月1日－令和5年3月31日),,,,,,,0,0,0,0,1,1,0
16,S100PRYZ,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G09098,030,04A000,030,,,2022-12-27 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
