seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100XRNE,E36101,,,佐藤　竜也,,060,010000,350,,,2026-03-18 09:00,大量保有報告書,E35989,,,,,,0,0,0,1,1,0,0,1,1
2,S100XOFK,E06748,,2010001049257,大和アセットマネジメント株式会社,G13213,030,07A000,120,2025-06-26,2025-12-25,2026-03-18 09:00,有価証券報告書（内国投資信託受益証券）－第14期(2025/06/26－2025/12/25),,,,,,,0,0,0,1,1,1,0,1,1
3,S100XPSS,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11885,030,07A000,120,2025-06-19,2025-12-18,2026-03-18 09:00,有価証券報告書（内国投資信託受益証券）－第30期(2025/06/19－2025/12/18),,,,,,,0,0,0,1,1,1,0,1,1
4,S100XG20,E12430,,8010401072159,アモーヴァ・アセットマネジメント株式会社,G01705,030,07A000,120,2024-12-19,2025-12-18,2026-03-18 09:01,有価証券報告書（内国投資信託受益証券）－第29期(2024/12/19－2025/12/18),,,,,,,0,0,0,1,1,1,0,1,1
5,S100XRHX,E24017,21960,9010401057687,株式会社エスクリ,,010,053000,180,,,2026-03-18 09:01,臨時報告書,,,,第19条第2項第9号の2,,,0,0,0,1,1,0,0,1,1
6,S100XPX8,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11922,030,07A000,120,2025-06-19,2025-12-18,2026-03-18 09:01,有価証券報告書（内国投資信託受益証券）－第21期(2025/06/19－2025/12/18),,,,,,,0,0,0,1,1,1,0,1,1
7,S100XJNW,E14703,,8010001014858,キャピタル・インターナショナル株式会社,G15439,030,10A000,160,2025-06-21,2026-06-22,2026-03-18 09:01,半期報告書（内国投資信託受益証券）－第2期(2025/06/21－2026/06/22),,,,,,,0,0,0,1,1,0,0,1,1
8,S100XM9B,E12460,,7010001054021,野村アセットマネジメント株式会社,G13755,030,04A000,030,,,2026-03-18 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
9,S100XG1X,E12430,,8010401072159,アモーヴァ・アセットマネジメント株式会社,G01705,030,04A000,030,,,2026-03-18 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
10,S100XOFL,E06748,,2010001049257,大和アセットマネジメント株式会社,G13213,030,04A000,030,,,2026-03-18 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
11,S100XPSZ,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11885,030,04A000,030,,,2026-03-18 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
12,S100XPV4,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12026,030,07A000,120,2025-06-24,2025-12-22,2026-03-18 09:02,有価証券報告書（内国投資信託受益証券）－第31期(2025/06/24－2025/12/22),,,,,,,0,0,0,1,1,1,0,1,1
13,S100XPHU,E12460,,7010001054021,野村アセットマネジメント株式会社,G13475,030,995000,180,,,2026-03-18 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
14,S100XIWF,E12460,,7010001054021,野村アセットマネジメント株式会社,G02351,030,07A000,120,2024-12-20,2025-12-19,2026-03-18 09:02,有価証券報告書（内国投資信託受益証券）－第64期(2024/12/20－2025/12/19),,,,,,,0,0,0,1,1,1,0,1,1
15,S100XG2H,E12430,,8010401072159,アモーヴァ・アセットマネジメント株式会社,G15243,030,07A000,120,2025-06-19,2025-12-18,2026-03-18 09:02,有価証券報告書（内国投資信託受益証券）－第3期(2025/06/19－2025/12/18),,,,,,,0,0,0,1,1,1,0,1,1
16,S100XGBB,E12441,,3010001062358,ＳＢＩ岡三アセットマネジメント株式会社,G10862,030,995000,180,,,2026-03-18 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
17,S100XJL2,E14703,,8010001014858,キャピタル・インターナショナル株式会社,G15439,030,04A000,030,,,2026-03-18 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
18,S100XM9A,E12460,,7010001054021,野村アセットマネジメント株式会社,G13755,030,07A000,120,2024-12-21,2025-12-22,2026-03-18 09:03,有価証券報告書（内国投資信託受益証券）－第6期(2024/12/21－2025/12/22),,,,,,,0,0,0,1,1,1,0,1,1
19,S100XPHV,E12460,,7010001054021,野村アセットマネジメント株式会社,G14338,030,995000,180,,,2026-03-18 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
20,S100XPNT,E06748,,2010001049257,大和アセットマネジメント株式会社,G14931,030,07A000,120,2024-12-26,2025-12-25,2026-03-18 09:03,有価証券報告書（内国投資信託受益証券）－第2期(2024/12/26－2025/12/25),,,,,,,0,0,0,1,1,1,0,1,1
21,S100XG23,E12430,,8010401072159,アモーヴァ・アセットマネジメント株式会社,G15243,030,04A000,030,,,2026-03-18 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
22,S100XPV9,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12026,030,04A000,030,,,2026-03-18 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
23,S100XPX9,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11922,030,04A000,030,,,2026-03-18 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
24,S100XPHW,E12460,,7010001054021,野村アセットマネジメント株式会社,G14337,030,995000,180,,,2026-03-18 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
25,S100XMHJ,E12460,,7010001054021,野村アセットマネジメント株式会社,G14813,030,995000,180,,,2026-03-18 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
26,S100XGBC,E12441,,3010001062358,ＳＢＩ岡三アセットマネジメント株式会社,G15165,030,995000,180,,,2026-03-18 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
27,S100XJL4,E14703,,8010001014858,キャピタル・インターナショナル株式会社,G15440,030,07A000,120,2025-06-21,2025-12-22,2026-03-18 09:04,有価証券報告書（内国投資信託受益証券）－第2期(2025/06/21－2025/12/22),,,,,,,0,0,0,1,1,1,0,1,1
28,S100XIWI,E12460,,7010001054021,野村アセットマネジメント株式会社,G02839,030,10A000,160,2025-06-20,2026-06-19,2026-03-18 09:04,半期報告書（内国投資信託受益証券）－第65期(2025/06/20－2026/06/19),,,,,,,0,0,0,1,1,0,0,1,1
29,S100XPO3,E06748,,2010001049257,大和アセットマネジメント株式会社,G15301,030,07A000,120,2024-10-15,2025-12-25,2026-03-18 09:05,有価証券報告書（内国投資信託受益証券）－第1期(2024/10/15－2025/12/25),,,,,,,0,0,0,1,1,1,0,1,1
30,S100XPHX,E12460,,7010001054021,野村アセットマネジメント株式会社,G15530,030,995000,180,,,2026-03-18 09:05,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
