seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100T2T0,E09666,,9010001062807,アムンディ・ジャパン株式会社,G04481,030,07A000,120,2023-07-26,2024-01-25,2024-04-25 09:00,有価証券報告書（内国投資信託受益証券）－第37期(2023/07/26－2024/01/25),,,,,,,0,0,0,1,1,1,0,1,1
2,S100TBLS,E35767,73520,2011001096974,株式会社ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,,010,053001,190,,,2024-04-25 09:00,訂正臨時報告書,,,,第19条第2項第1号,S100T9I7,,0,0,0,1,1,0,0,1,1
3,S100SYID,E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,G10520,030,10A000,160,2023-07-28,2024-07-29,2024-04-25 09:00,半期報告書（内国投資信託受益証券）－第10期(2023/07/28－2024/07/29),,,,,,,0,0,0,1,1,0,0,1,1
4,S100T9IX,E12453,,9010001025953,ニッセイアセットマネジメント株式会社,G12128,030,07A000,120,2023-01-26,2024-01-25,2024-04-25 09:00,有価証券報告書（内国投資信託受益証券）－第8期(2023/01/26－2024/01/25),,,,,,,0,0,0,1,1,1,0,1,1
5,S100TASM,E12481,,1010401025734,フィデリティ投信株式会社,G04582,030,07A000,120,2023-08-01,2024-01-31,2024-04-25 09:00,有価証券報告書（内国投資信託受益証券）－第36期(2023/08/01－2024/01/31),,,,,,,0,0,0,1,1,1,0,1,1
6,S100TAH3,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12005,030,07A000,120,2023-01-26,2024-01-25,2024-04-25 09:00,有価証券報告書（内国投資信託受益証券）－第17期(2023/01/26－2024/01/25),,,,,,,0,0,0,1,1,1,0,1,1
7,S100T3JB,E12460,,7010001054021,野村アセットマネジメント株式会社,G10537,030,07A000,120,2023-08-15,2024-02-13,2024-04-25 09:00,有価証券報告書（内国投資信託受益証券）－第19期(2023/08/15－2024/02/13),,,,,,,0,0,0,1,1,1,0,1,1
8,S100TAPL,E12481,,1010401025734,フィデリティ投信株式会社,G01824,030,07A000,120,2023-08-01,2024-01-31,2024-04-25 09:00,有価証券報告書（内国投資信託受益証券）－第52期(2023/08/01－2024/01/31),,,,,,,0,0,0,1,1,1,0,1,1
9,S100SYIF,E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,G10520,030,04A000,030,,,2024-04-25 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
10,S100T8L7,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G04493,030,07A000,120,2023-07-26,2024-01-25,2024-04-25 09:01,有価証券報告書（内国投資信託受益証券）－第37期(2023/07/26－2024/01/25),,,,,,,0,0,0,1,1,1,0,1,1
11,S100T9JS,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08683,030,10A000,160,2023-07-26,2024-07-25,2024-04-25 09:01,半期報告書（内国投資信託受益証券）－第14期(2023/07/26－2024/07/25),,,,,,,0,0,0,1,1,0,0,1,1
12,S100T0T4,E12460,,7010001054021,野村アセットマネジメント株式会社,G02342,030,07A000,120,2023-02-02,2024-02-01,2024-04-25 09:01,有価証券報告書（内国投資信託受益証券）－第30期(2023/02/02－2024/02/01),,,,,,,0,0,0,1,1,1,0,1,1
13,S100SYIL,E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,G14905,030,10A000,160,2023-07-31,2024-07-25,2024-04-25 09:01,半期報告書（内国投資信託受益証券）－第1期(2023/07/31－2024/07/25),,,,,,,0,0,0,1,1,0,0,1,1
14,S100TBOP,E39665,,,ゼナーアセットマネジメントエルエルピー,,060,090001,360,,,2024-04-25 09:01,訂正報告書（大量保有報告書・変更報告書）,E01548,,,,S100TBKK,,0,0,0,1,1,1,0,1,1
15,S100TAH2,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12005,030,04A000,030,,,2024-04-25 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
16,S100T0T7,E12460,,7010001054021,野村アセットマネジメント株式会社,G13247,030,07A000,120,2023-01-27,2024-01-26,2024-04-25 09:01,有価証券報告書（内国投資信託受益証券）－第5期(2023/01/27－2024/01/26),,,,,,,0,0,0,1,1,1,0,1,1
17,S100T9J0,E12453,,9010001025953,ニッセイアセットマネジメント株式会社,G12128,030,04A000,030,,,2024-04-25 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
18,S100T0EE,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13282,030,07A000,120,2023-01-28,2024-01-29,2024-04-25 09:01,有価証券報告書（内国投資信託受益証券）－第18期(2023/01/28－2024/01/29),,,,,,,0,0,0,1,1,1,0,1,1
19,S100TBM5,E23594,,,マッコーリー　バンク　リミテッド,,060,090001,360,,,2024-04-25 09:01,訂正報告書（大量保有報告書・変更報告書）,E30856,,,,S100T0OD,,0,0,0,1,1,1,0,1,1
20,S100T046,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G02558,030,07A000,120,2023-01-31,2024-01-30,2024-04-25 09:02,有価証券報告書（内国投資信託受益証券）－第23期(2023/01/31－2024/01/30),,,,,,,0,0,0,1,1,1,0,1,1
21,S100T3JO,E12460,,7010001054021,野村アセットマネジメント株式会社,G10537,030,04A001,040,,,2024-04-25 09:02,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100RSUY,,0,0,0,1,1,0,0,1,1
22,S100T33N,E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,G14905,030,04A001,040,,,2024-04-25 09:02,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100R552,,0,0,0,1,1,1,0,1,1
23,S100T8MC,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G12711,030,04A000,030,,,2024-04-25 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
