seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100YCKL,E12460,,7010001054021,野村アセットマネジメント株式会社,G03477,030,07A000,120,2025-05-13,2026-05-11,2026-07-28 09:00,有価証券報告書（内国投資信託受益証券）－第24期(2025/05/13－2026/05/11),,,,,,,0,0,0,1,1,1,0,1,1
2,S100YRFK,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G08415,030,995000,180,,,2026-07-28 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
3,S100YRUD,E06458,,6010001024529,ドイチェ・アセット・マネジメント株式会社,G07483,030,995000,180,,,2026-07-28 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
4,S100YRO3,E12481,,1010401025734,フィデリティ投信株式会社,G03266,030,07A000,120,2025-05-01,2026-04-30,2026-07-28 09:00,有価証券報告書（内国投資信託受益証券）－第24期(2025/05/01－2026/04/30),,,,,,,0,0,0,1,1,1,0,1,1
5,S100YS12,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G05255,030,995000,180,,,2026-07-28 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
6,S100YMZI,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08998,030,995000,180,,,2026-07-28 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
7,S100Y9AU,E12460,,7010001054021,野村アセットマネジメント株式会社,G03475,030,04A000,030,,,2026-07-28 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
8,S100YCKQ,E12460,,7010001054021,野村アセットマネジメント株式会社,G03477,030,04A000,030,,,2026-07-28 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
9,S100Y1RR,E12430,,8010401072159,アモーヴァ・アセットマネジメント株式会社,G03067,030,10A000,160,2025-10-29,2026-10-28,2026-07-28 09:00,半期報告書（内国投資信託受益証券）－第25期(2025/10/29－2026/10/28),,,,,,,0,0,0,1,1,0,0,1,1
10,S100YRUA,E06458,,6010001024529,ドイチェ・アセット・マネジメント株式会社,G07203,030,995000,180,,,2026-07-28 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
11,S100YS13,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11852,030,995000,180,,,2026-07-28 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
