seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100WSSJ,E00320,17160,5021001007060,第一カッター興業株式会社,,010,053000,180,,,2025-10-02 09:00,臨時報告書,,,,第19条第2項第9号の2,,,0,0,0,1,1,0,0,1,1
2,S100WPUR,E12425,,5010001048652,フランクリン・テンプルトン・ジャパン株式会社,G03098,030,995000,180,,,2025-10-02 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
3,S100WR81,E06748,,2010001049257,大和アセットマネジメント株式会社,G04065,030,995000,180,,,2025-10-02 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
4,S100WQSG,E12460,,7010001054021,野村アセットマネジメント株式会社,G02294,030,995000,180,,,2025-10-02 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
5,S100WPV0,E12425,,5010001048652,フランクリン・テンプルトン・ジャパン株式会社,G03335,030,995000,180,,,2025-10-02 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
6,S100WSLG,E11651,,5010001138742,株式会社アミューズキャピタル,,060,010002,350,,,2025-10-02 09:02,変更報告書,E36367,,,,,,0,0,0,1,1,1,0,1,1
7,S100WLH1,E12441,,3010001062358,ＳＢＩ岡三アセットマネジメント株式会社,G07788,030,995000,180,,,2025-10-02 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
8,S100WQSI,E12460,,7010001054021,野村アセットマネジメント株式会社,G04408,030,995000,180,,,2025-10-02 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
9,S100WR84,E06748,,2010001049257,大和アセットマネジメント株式会社,G10143,030,995000,180,,,2025-10-02 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
10,S100WQSM,E12460,,7010001054021,野村アセットマネジメント株式会社,G05273,030,995000,180,,,2025-10-02 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
11,S100WRJV,E12492,,3010001124868,ＨＳＢＣアセットマネジメント株式会社,G07104,030,995000,180,,,2025-10-02 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
12,S100WOBT,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13261,030,07A000,120,2024-07-09,2025-07-08,2025-10-02 09:04,有価証券報告書（内国投資信託受益証券）－第26期(2024/07/09－2025/07/08),,,,,,,0,0,0,1,1,1,0,1,1
13,S100WOBP,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13261,030,04A000,030,,,2025-10-02 09:05,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
14,S100WQSN,E12460,,7010001054021,野村アセットマネジメント株式会社,G08017,030,995000,180,,,2025-10-02 09:06,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
15,S100WN3O,E00248,19990,5290001044368,サイタホールディングス株式会社,,010,053000,180,,,2025-10-02 09:06,臨時報告書,,,,第19条第2項第9号の2,,,0,0,0,1,1,0,0,1,1
16,S100WO9Y,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13270,030,07A000,120,2024-07-09,2025-07-08,2025-10-02 09:06,有価証券報告書（内国投資信託受益証券）－第23期(2024/07/09－2025/07/08),,,,,,,0,0,0,1,1,1,0,1,1
