seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100WQ3A,E12460,,7010001054021,野村アセットマネジメント株式会社,G02291,030,07A000,120,2025-01-25,2025-07-24,2025-10-23 09:00,有価証券報告書（内国投資信託受益証券）－第57期(2025/01/25－2025/07/24),,,,,,,0,0,0,1,1,1,0,1,1
2,S100WNO7,E12460,,7010001054021,野村アセットマネジメント株式会社,G01389,030,07A000,120,2024-07-25,2025-07-24,2025-10-23 09:00,有価証券報告書（内国投資信託受益証券）－第25期(2024/07/25－2025/07/24),,,,,,,0,0,0,1,1,1,0,1,1
3,S100WQ3B,E12460,,7010001054021,野村アセットマネジメント株式会社,G02291,030,04A000,030,,,2025-10-23 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
4,S100WTRN,E06748,,2010001049257,大和アセットマネジメント株式会社,G14280,030,07A000,120,2025-01-31,2025-07-30,2025-10-23 09:00,有価証券報告書（内国投資信託受益証券）－第8期(2025/01/31－2025/07/30),,,,,,,0,0,0,1,1,1,0,1,1
5,S100WR62,E12460,,7010001054021,野村アセットマネジメント株式会社,G08041,030,07A000,120,2024-07-25,2025-07-24,2025-10-23 09:01,有価証券報告書（内国投資信託受益証券）－第15期(2024/07/25－2025/07/24),,,,,,,0,0,0,1,1,1,0,1,1
6,S100WNO8,E12460,,7010001054021,野村アセットマネジメント株式会社,G01389,030,04A000,030,,,2025-10-23 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
7,S100WPGA,E12460,,7010001054021,野村アセットマネジメント株式会社,G10775,030,04A000,030,,,2025-10-23 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
8,S100WR65,E12460,,7010001054021,野村アセットマネジメント株式会社,G08041,030,04A000,030,,,2025-10-23 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
9,S100WJOO,E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,G14590,030,07A000,120,2024-07-26,2025-07-25,2025-10-23 09:02,有価証券報告書（内国投資信託受益証券）－第3期(2024/07/26－2025/07/25),,,,,,,0,0,0,1,1,1,0,1,1
10,S100WVHP,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G10506,030,07A000,120,2025-01-24,2025-07-23,2025-10-23 09:02,有価証券報告書（内国投資信託受益証券）－第22期(2025/01/24－2025/07/23),,,,,,,0,0,0,1,1,1,0,1,1
11,S100WVGS,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G10527,030,07A000,120,2025-01-24,2025-07-23,2025-10-23 09:02,有価証券報告書（内国投資信託受益証券）－第22期(2025/01/24－2025/07/23),,,,,,,0,0,0,1,1,1,0,1,1
12,S100WVHX,E06480,,9010401084616,新業株式会社,,060,010002,350,,,2025-10-23 09:02,変更報告書,E00970,,,,,,0,0,0,1,1,1,0,1,1
13,S100WJOL,E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,G14590,030,04A000,030,,,2025-10-23 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
14,S100WPG9,E12460,,7010001054021,野村アセットマネジメント株式会社,G10775,030,07A000,120,2024-07-25,2025-07-24,2025-10-23 09:02,有価証券報告書（内国投資信託受益証券）－第11期(2024/07/25－2025/07/24),,,,,,,0,0,0,1,1,1,0,1,1
15,S100WTRP,E06748,,2010001049257,大和アセットマネジメント株式会社,G14280,030,04A000,030,,,2025-10-23 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
16,S100WVHU,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G10506,030,04A000,030,,,2025-10-23 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
17,S100WJOS,E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,G14591,030,07A000,120,2024-07-26,2025-07-25,2025-10-23 09:03,有価証券報告書（内国投資信託受益証券）－第3期(2024/07/26－2025/07/25),,,,,,,0,0,0,1,1,1,0,1,1
18,S100WVH7,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G10527,030,04A000,030,,,2025-10-23 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
19,S100WVSZ,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G12551,030,995000,180,,,2025-10-23 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
20,S100WPUF,E12460,,7010001054021,野村アセットマネジメント株式会社,G13247,030,10A000,160,2025-01-28,2026-01-26,2025-10-23 09:04,半期報告書（内国投資信託受益証券）－第7期(2025/01/28－2026/01/26),,,,,,,0,0,0,1,1,0,0,1,1
21,S100WJOP,E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,G14591,030,04A000,030,,,2025-10-23 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
22,S100WW1G,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G13513,030,995000,180,,,2025-10-23 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
23,S100WO2E,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13855,030,07A000,120,2025-01-28,2025-07-28,2025-10-23 09:04,有価証券報告書（内国投資信託受益証券）－第10期(2025/01/28－2025/07/28),,,,,,,0,0,0,1,1,1,0,1,1
24,S100WSDP,E06748,,2010001049257,大和アセットマネジメント株式会社,G12871,030,10A000,160,2025-01-31,2026-01-30,2025-10-23 09:04,半期報告書（内国投資信託受益証券）－第8期(2025/01/31－2026/01/30),,,,,,,0,0,0,1,1,0,0,1,1
25,S100WJOX,E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,G14905,030,07A000,120,2024-07-26,2025-07-25,2025-10-23 09:04,有価証券報告書（内国投資信託受益証券）－第2期(2024/07/26－2025/07/25),,,,,,,0,0,0,1,1,1,0,1,1
26,S100WTQ1,E12460,,7010001054021,野村アセットマネジメント株式会社,G14648,030,04A001,040,,,2025-10-23 09:05,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100WEQ5,,0,0,0,1,1,1,0,1,1
27,S100WPUH,E12460,,7010001054021,野村アセットマネジメント株式会社,G13247,030,04A001,040,,,2025-10-23 09:05,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100VCR4,,0,0,0,1,1,0,0,1,1
28,S100WJOU,E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,G14905,030,04A000,030,,,2025-10-23 09:05,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
29,S100WO2B,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13855,030,04A000,030,,,2025-10-23 09:05,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
30,S100WQMA,E12460,,7010001054021,野村アセットマネジメント株式会社,G03183,030,10A000,160,2025-01-25,2026-01-26,2025-10-23 09:06,半期報告書（内国投資信託受益証券）－第24期(2025/01/25－2026/01/26),,,,,,,0,0,0,1,1,0,0,1,1
31,S100WVQQ,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G08961,030,07A000,120,2025-01-24,2025-07-23,2025-10-23 09:06,有価証券報告書（内国投資信託受益証券）－第26期(2025/01/24－2025/07/23),,,,,,,0,0,0,1,1,1,0,1,1
32,S100WT24,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13854,030,07A000,120,2024-07-27,2025-07-28,2025-10-23 09:07,有価証券報告書（内国投資信託受益証券）－第5期(2024/07/27－2025/07/28),,,,,,,0,0,0,1,1,1,0,1,1
33,S100WVQP,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G08961,030,04A000,030,,,2025-10-23 09:07,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
34,S100WJL8,E12425,,5010001048652,フランクリン・テンプルトン・ジャパン株式会社,G08241,030,07A000,120,2025-01-24,2025-07-23,2025-10-23 09:07,有価証券報告書（内国投資信託受益証券）－第29期(2025/01/24－2025/07/23),,,,,,,0,0,0,1,1,1,0,1,1
35,S100WQMC,E12460,,7010001054021,野村アセットマネジメント株式会社,G03183,030,04A001,040,,,2025-10-23 09:07,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100VCRW,,0,0,0,1,1,0,0,1,1
36,S100WT2A,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13854,030,04A000,030,,,2025-10-23 09:07,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
37,S100WSDQ,E06748,,2010001049257,大和アセットマネジメント株式会社,G12871,030,04A000,030,,,2025-10-23 09:08,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
38,S100WJL5,E12425,,5010001048652,フランクリン・テンプルトン・ジャパン株式会社,G08241,030,04A000,030,,,2025-10-23 09:08,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
39,S100WVQU,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G10654,030,07A000,120,2024-07-24,2025-07-23,2025-10-23 09:08,有価証券報告書（内国投資信託受益証券）－第11期(2024/07/24－2025/07/23),,,,,,,0,0,0,1,1,1,0,1,1
