seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100SEXO,E13447,,2010401045054,ＳＢＩアセットマネジメント株式会社,G14598,030,07A000,120,2022-10-04,2023-10-03,2023-12-28 09:00,有価証券報告書（内国投資信託受益証券）－第5期(2022/10/04－2023/10/03),,,,,,,0,0,0,1,1,1,0,1,1
2,S100SH56,E34254,,3010001188789,ａｕアセットマネジメント株式会社,G14930,030,04A001,040,,,2023-12-28 09:00,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100RJAI,,0,0,0,1,1,1,0,1,1
3,S100SI4U,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G14133,030,10A000,160,2023-03-29,2024-03-28,2023-12-28 09:00,半期報告書（内国投資信託受益証券）－第2期(2023/03/29－2024/03/28),,,,,,,0,0,0,1,1,0,0,1,1
4,S100S6T4,E12460,,7010001054021,野村アセットマネジメント株式会社,G02334,030,07A000,120,2022-09-30,2023-09-29,2023-12-28 09:00,有価証券報告書（内国投資信託受益証券）－第35期(2022/09/30－2023/09/29),,,,,,,0,0,0,1,1,1,0,1,1
5,S100SJIZ,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G07265,030,995000,180,,,2023-12-28 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
6,S100SJ0K,E31883,,,Ｏａｓｉｓ　Ｍａｎａｇｅｍｅｎｔ　Ｃｏｍｐａｎｙ　Ｌｔｄ．,,060,010000,350,,,2023-12-28 09:00,大量保有報告書,E05206,,,,,,0,0,0,1,1,1,0,1,1
7,S100SD00,E12460,,7010001054021,野村アセットマネジメント株式会社,G03089,030,04A000,030,,,2023-12-28 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
8,S100SEXM,E13447,,2010401045054,ＳＢＩアセットマネジメント株式会社,G14598,030,04A000,030,,,2023-12-28 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
9,S100SJ4S,E06458,,6010001024529,ドイチェ・アセット・マネジメント株式会社,G04327,030,995000,180,,,2023-12-28 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
10,S100S0SQ,E12430,,8010401072159,日興アセットマネジメント株式会社,G02538,030,04A000,030,,,2023-12-28 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
11,S100SK08,E02430,78990,8180001067476,ＭＩＣＳ化学株式会社,,010,053000,180,,,2023-12-28 09:01,臨時報告書,,,,第19条第2項第9号の2,,,0,0,0,1,1,0,0,1,1
12,S100SJ4T,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G07773,030,995000,180,,,2023-12-28 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
13,S100S6T8,E12460,,7010001054021,野村アセットマネジメント株式会社,G02334,030,04A000,030,,,2023-12-28 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
14,S100SJ27,E31883,,,Ｏａｓｉｓ　Ｍａｎａｇｅｍｅｎｔ　Ｃｏｍｐａｎｙ　Ｌｔｄ．,,060,010000,350,,,2023-12-28 09:01,大量保有報告書,E00901,,,,,,0,0,0,1,1,1,0,1,1
15,S100SEZK,E12430,,8010401072159,日興アセットマネジメント株式会社,G02966,030,995000,180,,,2023-12-28 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
16,S100SHN2,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08643,030,10A000,160,2023-04-01,2024-04-01,2023-12-28 09:01,半期報告書（内国投資信託受益証券）－第22期(2023/04/01－2024/04/01),,,,,,,0,0,0,1,1,0,0,1,1
17,S100S4XY,E12460,,7010001054021,野村アセットマネジメント株式会社,G05555,030,10A000,160,2023-04-01,2024-04-01,2023-12-28 09:02,半期報告書（内国投資信託受益証券）－第17期(2023/04/01－2024/04/01),,,,,,,0,0,0,1,1,0,0,1,1
18,S100SCZW,E12460,,7010001054021,野村アセットマネジメント株式会社,G03089,030,07A000,120,2022-09-30,2023-09-29,2023-12-28 09:02,有価証券報告書（内国投資信託受益証券）－第22期(2022/09/30－2023/09/29),,,,,,,0,0,0,1,1,1,0,1,1
19,S100SJCE,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G15106,030,04A000,030,,,2023-12-28 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
20,S100SHXW,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G03011,030,07A000,120,2022-10-01,2023-10-02,2023-12-28 09:02,有価証券報告書（内国投資信託受益証券）－第22期(2022/10/01－2023/10/02),,,,,,,0,0,0,1,1,1,0,1,1
21,S100SHDB,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G14753,030,10A000,160,2023-03-31,2024-04-15,2023-12-28 09:02,半期報告書（内国投資信託受益証券）－第1期(2023/03/31－2024/04/15),,,,,,,0,0,0,1,1,0,0,1,1
22,S100SJVS,E03439,33330,7120001006861,株式会社あさひ,,010,043000,140,2023-08-21,2023-11-20,2023-12-28 09:02,四半期報告書－第49期第3四半期(2023/08/21－2023/11/20),,,,,,,0,0,0,1,1,0,0,1,1
23,S100SHMR,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G14267,030,04A001,040,,,2023-12-28 09:02,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100RUQO,,0,0,0,1,1,1,0,1,1
24,S100SHD8,E12430,,8010401072159,日興アセットマネジメント株式会社,G03829,030,995000,180,,,2023-12-28 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
25,S100S6UM,E12460,,7010001054021,野村アセットマネジメント株式会社,G03375,030,10A000,160,2023-04-01,2024-04-01,2023-12-28 09:02,半期報告書（内国投資信託受益証券）－第22期(2023/04/01－2024/04/01),,,,,,,0,0,0,1,1,0,0,1,1
26,S100SJXM,E03439,33330,7120001006861,株式会社あさひ,,010,042000,135,,,2023-12-28 09:03,確認書,,,,,,,0,0,0,0,1,0,0,0,1
27,S100SI68,E00844,,2030001075813,太平化学製品株式会社,,010,050000,160,2023-04-01,2024-03-31,2023-12-28 09:03,半期報告書－第123期(2023/04/01－2024/03/31),,,,,,,0,0,0,1,1,0,0,1,1
28,S100SHCL,E12430,,8010401072159,日興アセットマネジメント株式会社,G04145,030,995000,180,,,2023-12-28 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
29,S100SHTD,E12460,,7010001054021,野村アセットマネジメント株式会社,G02326,030,10A000,160,2023-03-30,2024-03-29,2023-12-28 09:03,半期報告書（内国投資信託受益証券）－第31期(2023/03/30－2024/03/29),,,,,,,0,0,0,1,1,0,0,1,1
30,S100S4XZ,E12460,,7010001054021,野村アセットマネジメント株式会社,G05555,030,04A001,040,,,2023-12-28 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100QV8D,,0,0,0,1,1,0,0,1,1
31,S100SJWB,E35943,,,グランサム、マヨ、ヴァン　オッテルロー　アンド　カンパニー　エルエルシー,,060,010002,350,,,2023-12-28 09:03,変更報告書,E02506,,,,,,0,0,0,1,1,1,0,1,1
32,S100SI4V,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G14755,030,10A000,160,2023-03-31,2024-03-11,2023-12-28 09:03,半期報告書（内国投資信託受益証券）－第1期(2023/03/31－2024/03/11),,,,,,,0,0,0,1,1,0,0,1,1
33,S100SCHN,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G08260,030,995000,180,,,2023-12-28 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
34,S100SD0B,E12460,,7010001054021,野村アセットマネジメント株式会社,G03376,030,10A000,160,2023-04-01,2024-04-01,2023-12-28 09:03,半期報告書（内国投資信託受益証券）－第22期(2023/04/01－2024/04/01),,,,,,,0,0,0,1,1,0,0,1,1
35,S100SGRZ,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08643,030,04A000,030,,,2023-12-28 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
36,S100SGR4,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G14306,030,07A000,120,2022-10-01,2023-10-02,2023-12-28 09:04,有価証券報告書（内国投資信託受益証券）－第2期(2022/10/01－2023/10/02),,,,,,,0,0,0,1,1,1,0,1,1
37,S100S6UU,E12460,,7010001054021,野村アセットマネジメント株式会社,G03375,030,04A001,040,,,2023-12-28 09:04,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100QUF1,,0,0,0,1,1,0,0,1,1
38,S100S755,E12460,,7010001054021,野村アセットマネジメント株式会社,G02326,030,04A001,040,,,2023-12-28 09:04,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100QPY0,,0,0,0,1,1,0,0,1,1
39,S100SJBK,E03415,27780,4180001086075,パレモ・ホールディングス株式会社,,010,043000,140,2023-09-21,2023-11-20,2023-12-28 09:04,四半期報告書－第39期第3四半期(2023/09/21－2023/11/20),,,,,,,0,0,0,1,1,0,0,1,1
40,S100SHCY,E12430,,8010401072159,日興アセットマネジメント株式会社,G04593,030,995000,180,,,2023-12-28 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
41,S100SH64,E06748,,2010001049257,大和アセットマネジメント株式会社,G05193,030,07A000,120,2023-04-06,2023-10-05,2023-12-28 09:04,有価証券報告書（内国投資信託受益証券）－第34期(2023/04/06－2023/10/05),,,,,,,0,0,0,1,1,1,0,1,1
42,S100SJBZ,E03415,27780,4180001086075,パレモ・ホールディングス株式会社,,010,042000,135,,,2023-12-28 09:04,確認書,,,,,,,0,0,0,0,1,0,0,0,1
43,S100SHNT,E09984,,,鶴見　哲,,060,010002,350,,,2023-12-28 09:04,変更報告書,E01204,,,,,,0,0,0,1,1,1,0,1,1
44,S100SDUC,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13563,030,995000,180,,,2023-12-28 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
45,S100SGEY,E12430,,8010401072159,日興アセットマネジメント株式会社,G05335,030,995000,180,,,2023-12-28 09:05,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
46,S100SD0F,E12460,,7010001054021,野村アセットマネジメント株式会社,G03376,030,04A001,040,,,2023-12-28 09:05,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100QNGL,,0,0,0,1,1,0,0,1,1
47,S100S6Z5,E12460,,7010001054021,野村アセットマネジメント株式会社,G05558,030,10A000,160,2023-04-01,2024-04-01,2023-12-28 09:05,半期報告書（内国投資信託受益証券）－第17期(2023/04/01－2024/04/01),,,,,,,0,0,0,1,1,0,0,1,1
48,S100S6V4,E12460,,7010001054021,野村アセットマネジメント株式会社,G05553,030,10A000,160,2023-04-01,2024-04-01,2023-12-28 09:05,半期報告書（内国投資信託受益証券）－第17期(2023/04/01－2024/04/01),,,,,,,0,0,0,1,1,0,0,1,1
49,S100SH0W,E12430,,8010401072159,日興アセットマネジメント株式会社,G05425,030,995000,180,,,2023-12-28 09:05,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
50,S100SGQZ,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G14306,030,04A000,030,,,2023-12-28 09:06,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
51,S100S49P,E12460,,7010001054021,野村アセットマネジメント株式会社,G14552,030,04A001,040,,,2023-12-28 09:06,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100QSOJ,,0,0,0,1,1,0,0,1,1
52,S100SH66,E06748,,2010001049257,大和アセットマネジメント株式会社,G05193,030,04A000,030,,,2023-12-28 09:06,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
53,S100SDUQ,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G14524,030,995000,180,,,2023-12-28 09:06,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
54,S100S6ZA,E12460,,7010001054021,野村アセットマネジメント株式会社,G05558,030,04A001,040,,,2023-12-28 09:06,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100QRMB,,0,0,0,1,1,0,0,1,1
55,S100S6V8,E12460,,7010001054021,野村アセットマネジメント株式会社,G05553,030,04A001,040,,,2023-12-28 09:06,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100QPXN,,0,0,0,1,1,0,0,1,1
56,S100SGOB,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G03014,030,07A000,120,2022-10-01,2023-10-02,2023-12-28 09:06,有価証券報告書（内国投資信託受益証券）－第22期(2022/10/01－2023/10/02),,,,,,,0,0,0,1,1,1,0,1,1
57,S100SHLM,E12430,,8010401072159,日興アセットマネジメント株式会社,G07556,030,995000,180,,,2023-12-28 09:07,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
58,S100SD0L,E12460,,7010001054021,野村アセットマネジメント株式会社,G05554,030,10A000,160,2023-04-01,2024-04-01,2023-12-28 09:07,半期報告書（内国投資信託受益証券）－第17期(2023/04/01－2024/04/01),,,,,,,0,0,0,1,1,0,0,1,1
59,S100S49O,E12460,,7010001054021,野村アセットマネジメント株式会社,G14552,030,10A000,160,2023-03-30,2024-03-29,2023-12-28 09:07,半期報告書（内国投資信託受益証券）－第2期(2023/03/30－2024/03/29),,,,,,,0,0,0,1,1,0,0,1,1
60,S100S70F,E12460,,7010001054021,野村アセットマネジメント株式会社,G14345,030,10A000,160,2023-04-01,2024-04-01,2023-12-28 09:07,半期報告書（内国投資信託受益証券）－第3期(2023/04/01－2024/04/01),,,,,,,0,0,0,1,1,0,0,1,1
61,S100SHLZ,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G09046,030,995000,180,,,2023-12-28 09:07,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
62,S100SGE3,E06748,,2010001049257,大和アセットマネジメント株式会社,G12566,030,07A000,120,2023-04-11,2023-10-10,2023-12-28 09:07,有価証券報告書（内国投資信託受益証券）－第13期(2023/04/11－2023/10/10),,,,,,,0,0,0,1,1,1,0,1,1
63,S100SIDO,E26704,,6010001141324,カレラアセットマネジメント株式会社,G14285,030,995000,180,,,2023-12-28 09:08,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
64,S100SJOG,E12430,,8010401072159,日興アセットマネジメント株式会社,G07557,030,995000,180,,,2023-12-28 09:08,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
65,S100SGNJ,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G03014,030,04A000,030,,,2023-12-28 09:08,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
66,S100S70K,E12460,,7010001054021,野村アセットマネジメント株式会社,G14345,030,04A001,040,,,2023-12-28 09:08,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100QVDN,,0,0,0,1,1,0,0,1,1
