seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100XW1Q,E12460,,7010001054021,野村アセットマネジメント株式会社,G11096,030,04A001,040,,,2026-05-27 09:00,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100WSPQ,,0,0,0,1,1,1,0,1,1
2,S100Y59Y,E12460,,7010001054021,野村アセットマネジメント株式会社,G12793,030,995000,180,,,2026-05-27 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
3,S100Y63V,E04931,97930,6180001006700,株式会社ダイセキ,,010,030000,120,2025-03-01,2026-02-28,2026-05-27 09:00,有価証券報告書－第68期(2025/03/01－2026/02/28),,,,,,,0,0,0,1,1,1,0,1,1
4,S100Y6P0,E03717,87460,2011001013038,ｕｎｂａｎｋｅｄ株式会社,,010,053000,180,,,2026-05-27 09:00,臨時報告書,,,,第19条第2項第4号,,,0,0,0,1,1,0,0,1,1
5,S100XXFR,E12460,,7010001054021,野村アセットマネジメント株式会社,G12783,030,07A000,120,2025-09-08,2026-03-07,2026-05-27 09:00,有価証券報告書（内国投資信託受益証券）－第17期(2025/09/08－2026/03/07),,,,,,,0,0,0,1,1,1,0,1,1
6,S100Y6MW,E38519,,9180001114327,株式会社ＳＡＩＡＳ,,060,090001,360,,,2026-05-27 09:00,訂正報告書（大量保有報告書・変更報告書）,E31694,,,,S100Y6BO,,0,0,0,1,1,0,0,1,1
7,S100Y67V,E04931,97930,6180001006700,株式会社ダイセキ,,010,042000,135,,,2026-05-27 09:00,確認書,,,,,,,0,0,0,0,1,0,0,0,1
8,S100XW9V,E12460,,7010001054021,野村アセットマネジメント株式会社,G10253,030,10A000,160,2025-09-09,2026-09-07,2026-05-27 09:00,半期報告書（内国投資信託受益証券）－第13期(2025/09/09－2026/09/07),,,,,,,0,0,0,1,1,0,0,1,1
9,S100Y59X,E12460,,7010001054021,野村アセットマネジメント株式会社,G12792,030,995000,180,,,2026-05-27 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
10,S100Y68P,E04931,97930,6180001006700,株式会社ダイセキ,,015,010000,235,,,2026-05-27 09:01,内部統制報告書－第68期(2025/03/01－2026/02/28),,,,,,,0,0,0,1,1,0,0,1,1
11,S100XW1O,E12460,,7010001054021,野村アセットマネジメント株式会社,G11096,030,10A000,160,2025-09-09,2026-09-07,2026-05-27 09:01,半期報告書（内国投資信託受益証券）－第12期(2025/09/09－2026/09/07),,,,,,,0,0,0,1,1,0,0,1,1
12,S100Y2HE,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G15597,030,10A000,160,2025-08-29,2026-10-20,2026-05-27 09:01,半期報告書（内国投資信託受益証券）－第1期(2025/08/29－2026/10/20),,,,,,,0,0,0,1,1,0,0,1,1
13,S100Y59W,E12460,,7010001054021,野村アセットマネジメント株式会社,G05738,030,995000,180,,,2026-05-27 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
14,S100Y02G,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G15593,030,10A000,160,2025-08-29,2026-06-15,2026-05-27 09:01,半期報告書（内国投資信託受益証券）－第1期(2025/08/29－2026/06/15),,,,,,,0,0,0,1,1,0,0,1,1
15,S100Y59V,E12460,,7010001054021,野村アセットマネジメント株式会社,G05737,030,995000,180,,,2026-05-27 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
16,S100XXFT,E12460,,7010001054021,野村アセットマネジメント株式会社,G12783,030,04A001,040,,,2026-05-27 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100WSGK,,0,0,0,1,1,1,0,1,1
17,S100Y5G5,E14703,,8010001014858,キャピタル・インターナショナル株式会社,G14697,030,995000,180,,,2026-05-27 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
18,S100XZU4,E12460,,7010001054021,野村アセットマネジメント株式会社,G12785,030,07A000,120,2025-09-08,2026-03-07,2026-05-27 09:02,有価証券報告書（内国投資信託受益証券）－第17期(2025/09/08－2026/03/07),,,,,,,0,0,0,1,1,1,0,1,1
19,S100Y59U,E12460,,7010001054021,野村アセットマネジメント株式会社,G05735,030,995000,180,,,2026-05-27 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
20,S100XZRN,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G05661,030,995000,180,,,2026-05-27 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
21,S100XW22,E12460,,7010001054021,野村アセットマネジメント株式会社,G12780,030,04A001,040,,,2026-05-27 09:02,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100WVLN,,0,0,0,1,1,1,0,1,1
22,S100Y33V,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G01384,030,04A001,040,,,2026-05-27 09:02,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100XQ0V,,0,0,0,1,1,1,0,1,1
23,S100XX50,E12460,,7010001054021,野村アセットマネジメント株式会社,G14813,030,07A000,120,2025-09-08,2026-03-07,2026-05-27 09:02,有価証券報告書（内国投資信託受益証券）－第6期(2025/09/08－2026/03/07),,,,,,,0,0,0,1,1,1,0,1,1
24,S100Y3RR,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G10118,030,04A000,030,,,2026-05-27 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
25,S100Y02K,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G15593,030,04A001,040,,,2026-05-27 09:02,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100W9W7,,0,0,0,1,1,1,0,1,1
26,S100XW9Y,E12460,,7010001054021,野村アセットマネジメント株式会社,G10253,030,04A001,040,,,2026-05-27 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100WUZY,,0,0,0,1,1,1,0,1,1
