seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100UT3K,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G08415,030,995000,180,,,2024-11-25 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
2,S100UTSJ,E03248,74530,5013301012443,株式会社　良品計画,,010,030000,120,2023-09-01,2024-08-31,2024-11-25 09:00,有価証券報告書－第46期(2023/09/01－2024/08/31),,,,,,,0,0,0,1,1,1,0,1,1
3,S100UKQC,E12460,,7010001054021,野村アセットマネジメント株式会社,G05133,030,10A000,160,2024-02-28,2025-02-27,2024-11-25 09:00,半期報告書（内国投資信託受益証券）－第19期(2024/02/28－2025/02/27),,,,,,,0,0,0,1,1,0,0,1,1
4,S100UKQG,E12460,,7010001054021,野村アセットマネジメント株式会社,G03093,030,07A000,120,2023-08-29,2024-08-27,2024-11-25 09:00,有価証券報告書（内国投資信託受益証券）－第23期(2023/08/29－2024/08/27),,,,,,,0,0,0,1,1,1,0,1,1
5,S100UU24,E39797,,9120001231532,ＳＵＮ　ＯＲＧＡＮＩＣ　ＦＡＲＭ株式会社,,060,090001,360,,,2024-11-25 09:00,訂正報告書（大量保有報告書・変更報告書）,E03745,,,,S100UTUA,,0,0,0,1,1,0,0,1,1
6,S100ULNE,E12453,,9010001025953,ニッセイアセットマネジメント株式会社,G09354,030,10A000,160,2024-02-27,2025-02-25,2024-11-25 09:01,半期報告書（内国投資信託受益証券）－第12期(2024/02/27－2025/02/25),,,,,,,0,0,0,1,1,0,0,1,1
7,S100USW6,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G10392,030,995000,180,,,2024-11-25 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
8,S100UKQH,E12460,,7010001054021,野村アセットマネジメント株式会社,G03093,030,04A000,030,,,2024-11-25 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
9,S100USOM,E06748,,2010001049257,大和アセットマネジメント株式会社,G03624,030,995000,180,,,2024-11-25 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
10,S100UTDI,E12480,,7010001010313,アライアンス・バーンスタイン株式会社,G13993,030,10A000,160,2024-02-27,2025-02-25,2024-11-25 09:02,半期報告書（内国投資信託受益証券）－第4期(2024/02/27－2025/02/25),,,,,,,0,0,0,1,1,0,0,1,1
