seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100VKUM,E10439,,4010001027269,ピクテ・ジャパン株式会社,G04294,030,04A000,030,,,2025-05-09 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
2,S100VKUP,E10439,,4010001027269,ピクテ・ジャパン株式会社,G04294,030,07A000,120,2024-08-14,2025-02-10,2025-05-09 09:01,有価証券報告書（内国投資信託受益証券）－第40期(2024/08/14－2025/02/10),,,,,,,0,0,0,1,1,1,0,1,1
3,S100VOTJ,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G08183,030,995000,180,,,2025-05-09 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
4,S100VOO6,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G13686,030,07A000,120,2024-02-10,2025-02-10,2025-05-09 09:01,有価証券報告書（内国投資信託受益証券）－第5期(2024/02/10－2025/02/10),,,,,,,0,0,0,1,1,1,0,1,1
5,S100VKV4,E10439,,4010001027269,ピクテ・ジャパン株式会社,G07224,030,04A000,030,,,2025-05-09 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
6,S100VPUY,E24060,,4010001128190,株式会社地域経済活性化支援機構,,010,054001,210,,,2025-05-09 09:01,訂正親会社等状況報告書（内国会社）－第15期(2023/04/01－2024/03/31),,,E00527,,S100VKI2,,0,0,0,0,1,1,0,0,1
7,S100VONZ,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G13670,030,07A000,120,2024-02-14,2025-02-10,2025-05-09 09:01,有価証券報告書（内国投資信託受益証券）－第5期(2024/02/14－2025/02/10),,,,,,,0,0,0,1,1,1,0,1,1
8,S100VK12,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G08115,030,10A000,160,2024-08-14,2025-08-12,2025-05-09 09:02,半期報告書（内国投資信託受益証券）－第23期(2024/08/14－2025/08/12),,,,,,,0,0,0,1,1,0,0,1,1
9,S100VMV2,E26491,,6260001004357,中銀アセットマネジメント株式会社,G08782,030,07A000,120,2024-02-14,2025-02-10,2025-05-09 09:02,有価証券報告書（内国投資信託受益証券）－第13期(2024/02/14－2025/02/10),,,,,,,0,0,0,1,1,1,0,1,1
10,S100VMB7,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G08472,030,07A000,120,2024-08-14,2025-02-10,2025-05-09 09:02,有価証券報告書（内国投資信託受益証券）－第27期(2024/08/14－2025/02/10),,,,,,,0,0,0,1,1,1,0,1,1
11,S100VKV6,E10439,,4010001027269,ピクテ・ジャパン株式会社,G07224,030,10A000,160,2024-08-14,2025-08-12,2025-05-09 09:02,半期報告書（内国投資信託受益証券）－第17期(2024/08/14－2025/08/12),,,,,,,0,0,0,1,1,0,0,1,1
12,S100VPXU,E14415,,2010001066608,シンプレクス・アセット・マネジメント株式会社,G15512,030,04A001,040,,,2025-05-09 09:02,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100VMCQ,,0,0,0,1,1,0,0,1,1
13,S100VKV8,E10439,,4010001027269,ピクテ・ジャパン株式会社,G08315,030,04A000,030,,,2025-05-09 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
14,S100VP4V,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G15515,030,04A000,030,,,2025-05-09 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
15,S100VPXC,E33486,,5011001097623,株式会社ヤマノビューティメイトグループ,,060,090001,360,,,2025-05-09 09:03,訂正報告書（大量保有報告書・変更報告書）,E03299,,,,S100VPF1,,0,0,0,1,1,0,0,1,1
16,S100VK13,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G08115,030,04A000,030,,,2025-05-09 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
17,S100VMB9,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G08472,030,04A000,030,,,2025-05-09 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
18,S100VKVE,E10439,,4010001027269,ピクテ・ジャパン株式会社,G08315,030,07A000,120,2024-08-14,2025-02-10,2025-05-09 09:03,有価証券報告書（内国投資信託受益証券）－第28期(2024/08/14－2025/02/10),,,,,,,0,0,0,1,1,1,0,1,1
19,S100VOO0,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G13686,030,04A000,030,,,2025-05-09 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
20,S100VMV3,E26491,,6260001004357,中銀アセットマネジメント株式会社,G08782,030,04A000,030,,,2025-05-09 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
21,S100VOJJ,E09096,,9010001125976,ブラックロック・ジャパン株式会社,G15094,030,04A000,030,,,2025-05-09 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
22,S100VNB0,E06748,,2010001049257,大和アセットマネジメント株式会社,G13605,030,07A000,120,2024-08-16,2025-02-17,2025-05-09 09:04,有価証券報告書（内国投資信託受益証券）－第11期(2024/08/16－2025/02/17),,,,,,,0,0,0,1,1,1,0,1,1
23,S100VPYE,E01975,65940,9130001002387,ニデック株式会社,,040,050006,260,,,2025-05-09 09:04,公開買付撤回届出書,,E01496,,,S100VKMJ,,0,0,0,1,1,1,0,1,1
24,S100VKVG,E10439,,4010001027269,ピクテ・ジャパン株式会社,G12106,030,04A000,030,,,2025-05-09 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
25,S100VPO5,E35933,,5010001203678,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,G14514,030,04A001,040,,,2025-05-09 09:05,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100VM7H,,0,0,0,1,1,1,0,1,1
26,S100VLTK,E12422,,4010001046310,しんきんアセットマネジメント投信株式会社,G10023,030,07A000,120,2024-02-15,2025-02-14,2025-05-09 09:05,有価証券報告書（内国投資信託受益証券）－第12期(2024/02/15－2025/02/14),,,,,,,0,0,0,1,1,1,0,1,1
27,S100VNY4,E12425,,5010001048652,フランクリン・テンプルトン・ジャパン株式会社,G08241,030,995000,180,,,2025-05-09 09:05,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
28,S100VKVI,E10439,,4010001027269,ピクテ・ジャパン株式会社,G12106,030,10A000,160,2024-08-14,2025-08-12,2025-05-09 09:05,半期報告書（内国投資信託受益証券）－第10期(2024/08/14－2025/08/12),,,,,,,0,0,0,1,1,0,0,1,1
29,S100VOW4,E21671,,1010001082655,レオス・キャピタルワークス株式会社,G13534,030,07A000,120,2024-02-16,2025-02-17,2025-05-09 09:06,有価証券報告書（内国投資信託受益証券）－第6期(2024/02/16－2025/02/17),,,,,,,0,0,0,1,1,1,0,1,1
30,S100VOJN,E09096,,9010001125976,ブラックロック・ジャパン株式会社,G15094,030,07A000,120,2024-08-10,2025-02-09,2025-05-09 09:06,有価証券報告書（内国投資信託受益証券）－第2期(2024/08/10－2025/02/09),,,,,,,0,0,0,1,1,1,0,1,1
31,S100VMU7,E26491,,6260001004357,中銀アセットマネジメント株式会社,G14437,030,07A000,120,2024-02-14,2025-02-10,2025-05-09 09:06,有価証券報告書（内国投資信託受益証券）－第3期(2024/02/14－2025/02/10),,,,,,,0,0,0,1,1,1,0,1,1
32,S100VKVO,E10439,,4010001027269,ピクテ・ジャパン株式会社,G15002,030,04A000,030,,,2025-05-09 09:06,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
33,S100VOOM,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G13690,030,07A000,120,2024-02-10,2025-02-10,2025-05-09 09:06,有価証券報告書（内国投資信託受益証券）－第5期(2024/02/10－2025/02/10),,,,,,,0,0,0,1,1,1,0,1,1
34,S100VOQE,E09096,,9010001125976,ブラックロック・ジャパン株式会社,G11329,030,07A000,120,2024-08-10,2025-02-09,2025-05-09 09:06,有価証券報告書（内国投資信託受益証券）－第18期(2024/08/10－2025/02/09),,,,,,,0,0,0,1,1,1,0,1,1
35,S100VOW8,E21671,,1010001082655,レオス・キャピタルワークス株式会社,G13534,030,04A000,030,,,2025-05-09 09:07,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
