seccode,market,jcn,name,pref,city,type,marketcap_m,since
1814,P,5120001083408,大末建設,大阪府,大阪市,3,13873,1947
1815,P,2010001008709,鉄建建設,東京都,千代田区,3,31307,1944
1820,P,8010401021454,西松建設,東京都,港区,3,207523,1937
1821,P,2010001131477,三井住友建設,東京都,中央区,3,65557,1941
1822,S,3010001034869,大豊建設,東京都,中央区,3,66004,1949
1826,S,9070001001420,佐田建設,群馬県,前橋市,3,9996,1949
1827,S,4010001008731,ナカノフドー建設,東京都,千代田区,3,13627,1942
1828,S,5110001019890,田辺工業,新潟県,上越市,3,14258,1969
1833,P,7120001004931,奥村組,大阪府,大阪市,3,176313,1938
1835,P,6011101014147,東鉄工業,東京都,新宿区,3,106026,1943
1840,S,7430001010659,土屋ホールディングス,北海道,札幌市,3,6057,1976
1841,S,9010801004850,サンユー建設,東京都,大田区,3,3648,
1844,S,9011801002605,大盛工業,東京都,千代田区,3,3298,1967
1847,S,7010501028268,イチケン,東京都,港区,3,16703,1930
1848,S,6290001010204,富士ピー・エス,福岡県,福岡市,3,8334,1954
1850,S,3120001039386,南海辰村建設,大阪府,大阪市,3,9170,1944
1852,P,8120001022651,淺沼組,大阪府,大阪市,3,59863,1937
1853,S,4120001077567,森組,大阪府,大阪市,3,10922,1934
1860,P,6010001034874,戸田建設,東京都,中央区,3,296360,1936
1861,P,1210001001082,熊谷組,福井県,福井市,3,154090,1938
1866,S,7100001000742,北野建設,長野県,長野市,3,21263,1946
1867,S,8110001017149,植木組,新潟県,柏崎市,3,9946,1948
1870,P,6180001018506,矢作建設工業,愛知県,名古屋市,3,57767,1949
1871,P,1010001008742,ピーエス三菱,東京都,港区,3,44352,1952
1873,P,6400001001397,日本ハウスホールディングス,東京都,千代田区,3,13440,1969
1878,P,4010401016607,大東建託,東京都,港区,17,1108562,1974
1879,P,2040001003186,新日本建設,千葉県,千葉市,3,69460,1969
1882,P,7010401020201,東亜道路工業,東京都,港区,3,70679,1930
1884,P,9010401023409,日本道路,東京都,港区,3,83542,1929
1885,P,3011101055078,東亜建設工業,東京都,新宿区,3,85817,1920
1887,P,3010401022812,日本国土開発,東京都,港区,3,56513,1951
1888,P,6290801012011,若築建設,福岡県,北九州市,3,38363,1890
1890,P,9120001077496,東洋建設,大阪府,大阪市,3,117303,1929
1893,P,1010001000006,五洋建設,東京都,文京区,3,233273,1950
1897,S,8130001040495,金下建設,京都府,宮津市,3,10575,1951
1898,P,1010401015438,世紀東急工業,東京都,港区,3,60216,1950
1899,P,9110001004880,福田組,新潟県,新潟市,3,46379,1927
1904,S,3010701005946,大成温調,東京都,品川区,3,24777,1952
1905,S,7010401018815,テノックス,東京都,港区,3,8082,
1909,S,2010701007860,日本ドライケミカル,東京都,北区,8,16777,1955
1911,P,4010001090011,住友林業,東京都,千代田区,3,773332,1948
1914,S,9120001072753,日本基礎技術,大阪府,大阪市,3,13558,28
1921,S,9010001034839,巴コーポレーション,東京都,中央区,3,23276,1934
1925,P,6120001059662,大和ハウス工業,大阪府,大阪市,3,2826641,1947
1926,P,7010001008811,ライト工業,東京都,千代田区,3,106710,1948
1928,P,8120001059652,積水ハウス,大阪府,大阪市,3,2017754,1960
1929,P,7010001053304,日特建設,東京都,中央区,3,43526,1947
1930,P,6230001003007,北陸電気工事,富山県,富山市,3,28975,1944
1934,P,4370001006286,ユアテック,宮城県,仙台市,3,70636,1944
1938,P,5011501002891,日本リーテック,東京都,千代田区,3,32227,1945
1939,P,7470001004244,四電工,香川県,高松市,3,46718,1963
1941,P,9240001006971,中電工,広島県,広島市,3,140636,1944
1942,P,9010401006818,関電工,東京都,港区,3,277755,1944
1944,P,1120001063033,きんでん,大阪府,大阪市,3,461875,1944
1945,P,6010401020680,東京エネシス,東京都,中央区,3,36107,1947
1946,P,8180001038758,トーエネック,愛知県,名古屋市,3,79543,1944
1948,S,3010001034778,弘電社,東京都,中央区,3,9347,1917
1949,P,7120001044515,住友電設,大阪府,大阪市,3,91584,1950
1950,P,6010501016240,日本電設工業,東京都,台東区,3,125597,1942
1951,P,3011001031955,エクシオグループ,東京都,渋谷区,3,351729,1954
1952,P,2010001062912,新日本空調,東京都,中央区,3,53275,1969
1959,P,6290001001120,九電工,福岡県,福岡市,3,314003,1944
1960,S,4010001008681,サンテック,東京都,千代田区,3,11798,1948
1961,P,2010001008683,三機工業,東京都,中央区,3,100404,1949
1963,P,3010001008732,日揮ホールディングス,神奈川県,横浜市,3,418285,1928
1964,P,2120001049015,中外炉工業,大阪府,大阪市,3,16770,1945
1965,S,3010401018661,テクノ菱和,東京都,港区,3,30831,
1966,S,4290801010231,高田工業所,福岡県,北九州市,3,9171,1948
1967,S,5070001001977,ヤマト,群馬県,前橋市,3,25097,1946
1968,P,4010001008748,太平電業,東京都,千代田区,3,80249,
1969,P,3010001008749,高砂熱学工業,東京都,新宿区,3,215635,1923
1971,S,2010001034861,中央ビルト工業,東京都,中央区,3,1289,
1972,S,9010401038472,三晃金属工業,東京都,港区,3,19265,1949
1973,P,6010001135680,ＮＥＣネッツエスアイ,東京都,港区,10,328656,1953
1975,P,5010401000023,朝日工業社,東京都,港区,3,37930,1940
1976,P,1120001049032,明星工業,大阪府,大阪市,3,63153,1947
1979,P,7011101011812,大氣社,東京都,新宿区,3,143731,1949
1980,P,6120001045084,ダイダン,大阪府,大阪市,3,67980,1933
1981,S,5011001006550,協和日成,東京都,中央区,3,16166,
1982,P,9010401025405,日比谷総合設備,東京都,港区,3,53309,
1992,S,6010001013597,神田通信機,東京都,千代田区,3,4459,
1994,S,1010001049480,高橋カーテンウォール工業,東京都,中央区,3,4882,
1997,S,7050001000351,暁飯島工業,茨城県,水戸市,3,3098,1953
2001,P,9011001017684,ニップン,東京都,千代田区,1,177748,1896
2002,P,8010001008736,日清製粉グループ本社,東京都,千代田区,1,647826,1900
2003,S,3010001034893,日東富士製粉,東京都,中央区,1,44671,1914
2004,P,3010001008690,昭和産業,東京都,千代田区,1,105695,1936
2009,S,5290001055183,鳥越製粉,福岡県,うきは市,1,18251,1935
