seccode,market,jcn,name,pref,city,type,marketcap_m,since
1301,P,1010401033225,極洋,東京都,港区,1,42784,1937
1332,P,1010001016860,ニッスイ,東京都,港区,1,246851,1943
1333,P,2010601040697,マルハニチロ,東京都,江東区,1,149157,1943
1375,P,1010001185037,雪国まいたけ,新潟県,南魚沼市,1,37716,1983
1376,S,5070001000715,カネコ種苗,群馬県,前橋市,1,16282,1947
1377,P,6020001008662,サカタのタネ,神奈川県,横浜市,1,177553,1942
1379,P,6100001003151,ホクト,長野県,長野市,1,58912,1964
1380,S,9250001000008,秋川牧園,山口県,山口市,1,4367,1979
1381,S,5340001000258,アクシーズ,鹿児島県,鹿児島市,1,16448,1962
1382,S,9450001002677,ホーブ,北海道,東神楽町,1,1639,1987
1383,S,9500001015681,ベルグアース,愛媛県,宇和島市,1,5476,2001
1384,S,2430001028862,ホクリヨウ,北海道,札幌市,1,8840,1949
1400,G,1011101035809,ルーデン・ホールディングス,東京都,渋谷区,3,1301,2000
1401,G,9250001004074,エムビーエス,山口県,宇部市,3,4848,2001
1407,S,9240001016913,ウエストホールディングス,広島県,広島市,3,138313,2006
1414,P,8010001135778,ショーボンドホールディングス,東京都,中央区,3,377696,2008
1417,P,6010601040090,ミライト・ワン,東京都,江東区,3,196990,2010
1418,S,4011501016216,インターライフホールディングス,東京都,中央区,3,4342,
1419,P,7010401057862,タマホーム,東京都,港区,3,118265,1998
1420,S,3120001039510,サンヨーホームズ,大阪府,大阪市,3,9478,1969
1429,P,4020001061696,日本アクア,東京都,港区,3,34621,2004
1430,S,2012701011066,ファーストコーポレーション,東京都,杉並区,3,10023,2011
1431,G,7330001010363,Ｌｉｂ　Ｗｏｒｋ,熊本県,山鹿市,3,17842,
1433,P,7010601021305,ベステラ,東京都,江東区,3,9521,1974
1434,S,1011101008616,ＪＥＳＣＯホールディングス,東京都,新宿区,3,6455,
1435,S,3290001025873,Ｒｏｂｏｔ　Ｈｏｍｅ,東京都,中央区,17,15400,2006
1436,G,6480001006042,フィット,徳島県,松茂町,3,3556,2009
1438,S,4200001001361,岐阜造園,岐阜県,岐阜市,3,4800,1966
1439,S,5180001024430,安江工務店,愛知県,名古屋市,3,1808,1975
1443,S,2011301023802,技研ホールディングス,東京都,千代田区,3,3572,
1444,G,3010901009251,ニッソウ,東京都,世田谷区,3,2978,1988
1446,S,6010001162361,キャンディル,東京都,新宿区,3,6290,2014
1447,G,6010001195295,ＩＴｂｏｏｋホールディングス,東京都,江東区,3,8598,2018
1450,S,7010401017288,田中建設工業,東京都,港区,3,9261,
1451,S,7140001034712,ＫＨＣ,兵庫県,明石市,3,2992,
1491,S,7010001008720,中外鉱業,東京都,千代田区,7,8692,1932
1514,S,2010401078384,住石ホールディングス,東京都,港区,2,98410,2008
1515,P,5010001008730,日鉄鉱業,東京都,千代田区,2,89203,1939
