seccode,market,jcn,name,pref,city,type,marketcap_m
7270,P,5011101019196,株式会社ＳＵＢＡＲＵ,東京都,渋谷区,6,2074467
7246,P,5020001074318,プレス工業株式会社,神奈川県,川崎市,6,64308
7236,P,3011001015719,株式会社ティラド,東京都,渋谷区,6,20842
7235,S,6021001002556,東京ラヂエーター製造株式会社,神奈川県,藤沢市,6,9072
7238,P,8010001034724,曙ブレーキ工業株式会社,東京都,中央区,6,17271
7283,P,1180001092357,愛三工業株式会社,愛知県,大府市,6,80285
7261,P,3240001036223,マツダ株式会社,広島県,府中町,6,1058588
7267,P,6010401027577,本田技研工業株式会社,東京都,港区,6,8618776
7269,P,8080401002431,スズキ株式会社,静岡県,浜松市,6,3160037
7272,P,2080401016040,ヤマハ発動機株式会社,静岡県,磐田市,6,1298957
7226,P,7140001068512,極東開発工業株式会社,大阪府,大阪市,6,75843
6042,S,2021001020256,株式会社ニッキ,神奈川県,厚木市,6,4948
7247,P,1010001008791,株式会社ミクニ,東京都,千代田区,6,14914
6356,S,3021001001619,日本ギア工業株式会社,東京都,港区,8,6769
7256,P,5021001006269,河西工業株式会社,神奈川県,寒川町,6,9878
7245,P,1180001012595,大同メタル工業株式会社,愛知県,名古屋市,6,27514
7240,P,1010401004837,ＮＯＫ株式会社,東京都,港区,6,336841
7244,P,9021001035727,市光工業株式会社,神奈川県,伊勢原市,9,53465
7250,P,7200001013874,太平洋工業株式会社,岐阜県,大垣市,6,86390
6392,S,9010801012135,株式会社ヤマダコーポレーション,東京都,大田区,8,10776
7254,S,2080401006066,株式会社ユニバンス,静岡県,湖西市,6,9289
5644,S,9160001013183,株式会社メタルアート,滋賀県,草津市,7,13419
6493,S,3021001022920,株式会社ＮＩＴＴＡＮ,神奈川県,秦野市,6,8897
5949,P,7020001045218,ユニプレス株式会社,神奈川県,横浜市,6,46120
7241,P,3180301001916,フタバ産業株式会社,愛知県,岡崎市,6,68529
6470,P,7180301018584,大豊工業株式会社,愛知県,豊田市,8,24709
7277,P,5012301001794,株式会社ＴＢＫ,東京都,町田市,6,11446
7278,P,1120001147463,株式会社エクセディ,大阪府,寝屋川市,6,124934
7279,S,1140001081875,株式会社ハイレックスコーポレーション,兵庫県,宝塚市,6,50905
7280,P,1070001016632,株式会社ミツバ,群馬県,桐生市,9,40112
7239,P,6012801002309,株式会社タチエス,東京都,青梅市,6,57763
7211,P,7010401029044,三菱自動車工業株式会社,東京都,港区,6,743949
7287,S,3110001023135,日本精機株式会社,新潟県,長岡市,6,68765
7291,S,2080101012372,日本プラスト株式会社,静岡県,富士宮市,6,10811
7292,S,3080001005194,株式会社村上開明堂,静岡県,静岡市,6,52007
7294,P,7020001030517,株式会社ヨロズ,神奈川県,横浜市,6,22325
7296,P,5080401010065,株式会社エフ・シー・シー,静岡県,浜松市,6,95549
5989,P,3030001011684,株式会社エイチワン,埼玉県,さいたま市,3,22686
7297,S,3013301021082,株式会社カーメイト,東京都,豊島区,6,7215
7298,S,2030001026675,八千代工業株式会社,埼玉県,狭山市,6,33419
7299,S,4080401014950,フジオーゼックス株式会社,静岡県,菊川市,6,9478
7273,S,9021001023731,株式会社イクヨ,神奈川県,厚木市,6,2154
7271,P,1190001008733,株式会社安永,三重県,伊賀市,6,9005
5970,P,9030001023377,株式会社ジーテクト,埼玉県,さいたま市,3,77055
7212,P,6030001031085,株式会社エフテック,埼玉県,久喜市,6,11602
7268,S,7060001018855,株式会社タツミ,栃木県,足利市,6,2370
7266,P,1180001080700,株式会社今仙電機製作所,愛知県,犬山市,6,13545
7265,S,7080401014989,エイケン工業株式会社,静岡県,御前崎市,6,3112
7264,S,7010901011914,株式会社ムロコーポレーション,栃木県,宇都宮市,6,9001
7229,S,8080401005665,株式会社ユタカ技研,静岡県,浜松市,6,30870
7220,P,6180301007357,武蔵精密工業株式会社,愛知県,豊橋市,6,109164
7219,S,7080101011279,株式会社エッチ・ケー・エス,静岡県,富士宮市,6,3280
7218,S,6230001001654,田中精密工業株式会社,富山県,富山市,6,7928
7217,S,1020001033780,株式会社テイン,神奈川県,横浜市,6,5157
3434,S,1020001005862,株式会社アルファ,神奈川県,横浜市,3,15249
7215,S,2020001077174,株式会社ファルテック,神奈川県,川崎市,6,5261
7214,S,2150001011467,ＧＭＢ株式会社,奈良県,川西町,6,9596
7208,S,8140001034728,株式会社カネミツ,兵庫県,明石市,6,4104
7224,P,7140001082323,新明和工業株式会社,兵庫県,宝塚市,6,85750
7408,P,6012401012609,株式会社ジャムコ,東京都,三鷹市,6,38657
7309,P,3120101003399,株式会社シマノ,大阪府,堺市,6,2045301
7305,S,4120001077344,新家工業株式会社,大阪府,大阪市,7,18831
7701,P,6130001021068,株式会社島津製作所,京都府,京都市,9,1139574
7721,P,3010801008436,東京計器株式会社,東京都,大田区,9,25820
7723,P,3180001021396,愛知時計電機株式会社,愛知県,名古屋市,9,35204
7726,S,7020001070810,黒田精工株式会社,神奈川県,川崎市,8,7231
7727,P,4011101003936,株式会社オーバル,東京都,新宿区,9,11310
7731,P,5010001008763,株式会社ニコン,東京都,港区,9,483808
7733,P,5011001005222,オリンパス株式会社,東京都,八王子市,9,2588702
7751,P,6010801003186,キヤノン株式会社,東京都,大田区,9,4921587
7752,P,2010801012579,株式会社リコー,東京都,大田区,9,748493
8050,P,9010001034797,セイコーグループ株式会社,東京都,中央区,9,97714
7762,P,5012701004744,シチズン時計株式会社,東京都,西東京市,9,218940
7734,P,3011401006846,理研計器株式会社,東京都,板橋区,9,141256
6850,P,9011401004118,株式会社チノー,東京都,板橋区,9,19743
7735,P,6130001003272,株式会社ＳＣＲＥＥＮホールディングス,京都府,京都市,9,936657
7729,P,5010101009430,株式会社東京精密,東京都,八王子市,9,332353
6966,P,6290801010667,株式会社三井ハイテック,福岡県,北九州市,9,270466
7769,P,9030001010524,リズム株式会社,埼玉県,さいたま市,9,21877
5957,P,2130001041813,日東精工株式会社,京都府,綾部市,3,23631
7732,P,4011401004725,株式会社トプコン,東京都,板橋区,9,165950
7739,P,7030001090700,キヤノン電子株式会社,埼玉県,秩父市,9,82092
7718,P,9080001002327,スター精密株式会社,静岡県,静岡市,8,72943
7702,P,5240001004384,株式会社ジェイ・エム・エス,広島県,広島市,9,12664
6960,S,7010001006880,フクダ電子株式会社,東京都,文京区,9,218210
7999,S,7010701019406,ＭＵＴＯＨホールディングス株式会社,東京都,世田谷区,9,10191
6858,S,1020001001886,株式会社小野測器,神奈川県,横浜市,9,5295
6859,P,7120001059661,エスペック株式会社,大阪府,大阪市,9,54792
7740,P,5030001011204,株式会社タムロン,埼玉県,さいたま市,9,97461
3593,P,2010401047109,株式会社ホギメディカル,東京都,港区,4,84611
7705,S,6011101008586,ジーエルサイエンス株式会社,東京都,新宿区,9,26218
7744,P,9170001002607,ノーリツ鋼機株式会社,東京都,港区,9,115087
7713,S,8030001089741,シグマ光機株式会社,埼玉県,日高市,9,11012
6888,S,8010001009651,アクモス株式会社,東京都,港区,10,3892
7771,S,6030001076535,日本精密株式会社,埼玉県,川口市,9,1846
6323,P,9240001029584,ローツェ株式会社,広島県,福山市,8,222264
7715,P,7010801008721,長野計器株式会社,東京都,大田区,9,42500
7716,S,1060001010545,株式会社ナカニシ,栃木県,鹿沼市,9,301159
6788,P,8120001072952,株式会社日本トリム,大阪府,大阪市,9,26663
7717,P,3020001043968,株式会社ブイ・テクノロジー,神奈川県,横浜市,9,19562
7722,S,3013401001100,国際計測器株式会社,東京都,多摩市,9,7341
7725,P,8020001005906,株式会社インターアクション,神奈川県,横浜市,9,11798
7709,S,8120001063299,クボテック株式会社,大阪府,大阪市,9,3679
7707,G,9040001037483,プレシジョン・システム・サイエンス株式会社,千葉県,松戸市,9,8051
7730,P,4060001005922,マニー株式会社,栃木県,宇都宮市,9,220649
6778,S,2012801000217,株式会社アルチザネットワークス,東京都,立川市,9,6885
6156,S,5012401000218,株式会社エーワン精密,東京都,府中市,8,10335
7745,P,5013301001710,株式会社Ａ＆Ｄホロンホールディングス,東京都,豊島区,9,48228
6678,P,4020001032202,株式会社テクノメディカ,神奈川県,横浜市,9,21155
6677,S,4130001023818,株式会社エスケーエレクトロニクス,京都府,京都市,9,33002
4237,S,7140001061401,フジプレアム株式会社,兵庫県,姫路市,4,10574
7747,P,8180001049706,朝日インテック株式会社,愛知県,瀬戸市,9,714261
6266,P,6260001018266,タツモ株式会社,岡山県,岡山市,8,40771
7760,S,3120001059756,ＩＭＶ株式会社,大阪府,大阪市,9,8597
7749,S,9010001007828,メディキット株式会社,東京都,文京区,9,49843
6656,S,7410001008548,インスペック株式会社,秋田県,仙北市,9,4908
7774,G,4180301011063,株式会社ジャパン・ティッシュエンジニアリング,愛知県,蒲郡市,9,20711
6164,S,1110001022782,株式会社太陽工機,新潟県,長岡市,8,7868
7951,P,3080401005595,ヤマハ株式会社,静岡県,浜松市,10,675029
7952,P,2080401001323,株式会社河合楽器製作所,静岡県,浜松市,10,30910
7992,S,9010601024727,セーラー万年筆株式会社,広島県,呉市,10,4241
7976,P,6010701009457,三菱鉛筆株式会社,東京都,品川区,10,116067
7974,P,1130001011420,任天堂株式会社,京都府,京都市,10,8910312
7994,P,3020001030157,株式会社オカムラ,神奈川県,横浜市,10,221869
7972,P,9120001014301,株式会社イトーキ,大阪府,大阪市,10,63063
7997,S,8120001042947,株式会社くろがね工作所,大阪府,大阪市,10,1501
7981,P,5120001015344,タカラスタンダード株式会社,大阪府,大阪市,10,124622
7983,S,6490001006215,株式会社ミロク,高知県,南国市,10,4932
7991,S,7010701022392,マミヤ・オーピー株式会社,埼玉県,飯能市,8,14356
7936,P,8140001005877,株式会社アシックス,兵庫県,神戸市,10,933404
5943,P,6140001010383,株式会社ノーリツ,兵庫県,神戸市,3,77670
7313,P,8030001044928,テイ・エステック株式会社,埼玉県,朝霞市,6,244596
6454,P,2010001057739,マックス株式会社,東京都,中央区,8,133675
7990,P,5012701003630,グローブライド株式会社,東京都,東久留米市,10,48096
7980,S,6011501017030,株式会社重松製作所,東京都,北区,10,5573
7985,S,7011001018214,ネポン株式会社,東京都,渋谷区,3,1422
7988,P,5020001007855,株式会社ニフコ,神奈川県,横須賀市,4,390601
7284,S,9021001020555,盟和産業株式会社,神奈川県,厚木市,6,3443
7970,P,4010001034802,信越ポリマー株式会社,東京都,千代田区,4,114433
7989,P,4010401017209,立川ブラインド工業株式会社,東京都,港区,3,30107
6961,P,5030001074060,株式会社エンプラス,埼玉県,川口市,9,100638
7966,P,7011401006867,リンテック株式会社,東京都,板橋区,10,187044
7965,P,5120001059655,象印マホービン株式会社,大阪府,大阪市,9,114127
7963,S,3010001016132,興研株式会社,東京都,千代田区,10,8258
7962,P,8010001014924,株式会社キングジム,東京都,千代田区,10,27338
7957,S,8120001050578,フジコピアン株式会社,大阪府,大阪市,10,2809
6412,P,3010501026647,株式会社平和,東京都,台東区,8,207104
7956,P,8010001027298,ピジョン株式会社,東京都,中央区,10,197869
7955,P,6011501006231,クリナップ株式会社,東京都,荒川区,10,25573
7949,P,9220001011932,小松ウオール工業株式会社,石川県,小松市,10,31347
5906,S,2100001006100,エムケー精工株式会社,長野県,千曲市,3,6098
6413,P,9010401031452,理想科学工業株式会社,東京都,港区,8,95688
6863,S,5010101003020,株式会社ニレコ,東京都,八王子市,9,9500
7947,P,5240001029984,株式会社エフピコ,広島県,福山市,4,238441
7743,P,7010001003408,株式会社シード,東京都,文京区,9,17699
7943,P,4180001007155,ニチハ株式会社,愛知県,名古屋市,3,101485
5187,S,7020001008505,クリエートメディック株式会社,神奈川県,横浜市,9,8505
9697,P,3120001077023,株式会社カプコン,大阪府,大阪市,10,1354115
6417,P,3011001057538,株式会社三共,東京都,渋谷区,8,430143
6291,P,5010501009996,日本エアーテック株式会社,東京都,台東区,8,14717
7917,P,6011101056965,藤森工業株式会社,東京都,文京区,4,73892
6419,P,7011101019888,株式会社マースグループホールディングス,東京都,新宿区,8,55596
7908,S,9011101005242,株式会社きもと,埼玉県,さいたま市,4,10516
7906,S,4010001008228,ヨネックス株式会社,東京都,文京区,10,140712
7902,S,5013201003278,株式会社ソノコム,東京都,目黒区,10,4145
7899,S,8180001067476,ＭＩＣＳ化学株式会社,愛知県,東郷町,4,2562
6907,S,1020001015003,ジオマテック株式会社,神奈川県,横浜市,9,4512
7885,S,8100001021275,タカノ株式会社,長野県,宮田村,10,12703
5982,S,3010501014528,株式会社マルゼン,東京都,台東区,3,42962
7878,S,8090001004562,株式会社光・彩,山梨県,甲斐市,10,2063
7877,S,1120001019704,永大化工株式会社,大阪府,大阪市,4,2234
5956,S,6010001052315,トーソー株式会社,東京都,中央区,3,5310
7874,P,7010001128155,レック株式会社,東京都,中央区,4,36791
5965,S,3010401026945,株式会社フジマック,東京都,港区,3,12203
7399,S,1010001053053,株式会社ナンシン,東京都,中央区,6,4101
5903,S,8180001002144,シンポ株式会社,愛知県,名古屋市,3,7308
7867,P,8011801003488,株式会社タカラトミー,東京都,葛飾区,10,196923
6425,S,6010601025422,株式会社ユニバーサルエンターテインメント,東京都,江東区,8,169532
7860,P,7010401004245,エイベックス株式会社,東京都,港区,10,61280
4816,S,8011601004645,東映アニメーション株式会社,東京都,中野区,10,634200
7851,S,2120001077131,カワセコンピュータサプライ株式会社,東京都,中央区,10,1218
6400,S,3120001018670,不二精機株式会社,大阪府,大阪市,8,2879
7847,S,1030001090714,株式会社グラファイトデザイン,埼玉県,秩父市,10,5459
7846,P,9010001077045,株式会社パイロットコーポレーション,東京都,中央区,10,189377
