日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240131,9037,ハマキョウレックス,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20240131,9039,サカイ引越センター,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20240131,9041,近鉄グループホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20240131,9042,阪急阪神ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20240131,9044,南海電気鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20240131,9045,京阪ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20240131,9046,神戸電鉄,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20240131,9048,名古屋鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20240131,9049,京福電気鉄道,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20240131,9051,センコン物流,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20240131,9052,山陽電気鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20240131,9055,アルプス物流,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20240131,9057,遠州トラック,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20240131,9058,トランコム,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,6,TOPIX Small 1
20240131,9059,カンダホールディングス,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20240131,9060,日本ロジテム,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20240131,9063,岡山県貨物運送,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20240131,9064,ヤマトホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20240131,9065,山九,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20240131,9066,日新,プライム（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,7,TOPIX Small 2
20240131,9067,丸運,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20240131,9068,丸全昭和運輸,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20240131,9069,センコーグループホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20240131,9070,トナミホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20240131,9072,ニッコンホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20240131,9073,京極運輸商事,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20240131,9074,日本石油輸送,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20240131,9075,福山通運,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20240131,9076,セイノーホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20240131,9078,エスライングループ本社,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20240131,9081,神奈川中央交通,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20240131,9082,大和自動車交通,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20240131,9083,神姫バス,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20240131,9087,タカセ,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20240131,9090,ＡＺ－ＣＯＭ丸和ホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
20240131,9099,Ｃ＆Ｆロジホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
20240131,9101,日本郵船,プライム（内国株式）,5100,海運業,12,運輸・物流,2,TOPIX Large70
20240131,9104,商船三井,プライム（内国株式）,5100,海運業,12,運輸・物流,4,TOPIX Mid400
20240131,9107,川崎汽船,プライム（内国株式）,5100,海運業,12,運輸・物流,4,TOPIX Mid400
