edinetCode,secCode,JCN,filerName,count
E12460,,7010001054021,野村アセットマネジメント株式会社,350
E06748,,2010001049257,大和アセットマネジメント株式会社,328
E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,277
E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,276
E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,235
E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,216
E12430,,8010401072159,日興アセットマネジメント株式会社,140
E03810,,6010001074037,野村證券株式会社,110
E12453,,9010001025953,ニッセイアセットマネジメント株式会社,87
E12481,,1010401025734,フィデリティ投信株式会社,77
E03627,,2010001146005,三井住友信託銀行株式会社,73
E12441,,3010001062358,岡三アセットマネジメント株式会社,73
E03606,83060,4010001073486,株式会社三菱ＵＦＪフィナンシャル・グループ,62
E05982,,,バークレイズ・バンク・ピーエルシー,53
E12448,,8010401040306,明治安田アセットマネジメント株式会社,48
E09096,,9010001125976,ブラックロック・ジャパン株式会社,48
E06264,,6010001098507,ＪＰモルガン・アセット・マネジメント株式会社,44
E09666,,9010001062807,アムンディ・ジャパン株式会社,44
E26704,,6010001141324,カレラアセットマネジメント株式会社,41
E15787,,1010701021680,楽天投信投資顧問株式会社,39
E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,39
E10439,,4010001027269,ピクテ・ジャパン株式会社,38
E03532,,6010001008845,株式会社みずほ銀行,33
E12473,,4010001031576,ＵＢＳアセット・マネジメント株式会社,32
E12208,,,ＦＭＲ　ＬＬＣ,31
E12437,,8010001011855,パインブリッジ・インベストメンツ株式会社,29
E03759,,7010001008687,みずほ証券株式会社,28
E12492,,3010001124868,ＨＳＢＣアセットマネジメント株式会社,27
E12422,,4010001046310,しんきんアセットマネジメント投信株式会社,27
E32108,39310,1010401055616,株式会社バリューゴルフ,27
E06433,,3010001034076,東京海上アセットマネジメント株式会社,26
E32011,,5010601048309,りそなアセットマネジメント株式会社,26
E05835,,,ソシエテ・ジェネラル,25
E11943,,,Ｅｖｏ　Ｆｕｎｄ,24
E12457,,8010401009945,ゴールドマン・サックス・アセット・マネジメント株式会社,23
E23615,,7010001125714,ＳＭＢＣ日興証券株式会社,23
E03626,,6010001008770,三菱ＵＦＪ信託銀行株式会社,23
E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,22
E14415,,2010001066608,シンプレクス・アセット・マネジメント株式会社,22
E06485,,7010001054021,野村アセットマネジメント株式会社,22
E13447,,2010401045054,ＳＢＩアセットマネジメント株式会社,20
E11852,,,エフィッシモ　キャピタル　マネージメント　ピーティーイー　エルティーディー（Ｅｆｆｉｓｓｉｍｏ　Ｃａｐｉｔａｌ　Ｍａｎａｇｅｍｅｎｔ　Ｐｔｅ　Ｌｔｄ）,20
E12586,,6010001077097,シュローダー・インベストメント・マネジメント株式会社,20
E06458,,6010001024529,ドイチェ・アセット・マネジメント株式会社,20
E12447,,9011301011486,朝日ライフ　アセットマネジメント株式会社,20
E13343,,8010001040648,ＢＮＹメロン・インベストメント・マネジメント・ジャパン株式会社,19
E12963,,2010401034817,ステート・ストリート・グローバル・アドバイザーズ株式会社,19
E35239,,2010001143423,光通信株式会社,19
E11161,,5010701017007,スパークス・アセット・マネジメント株式会社,18
E30703,,1010001106942,マニュライフ・インベストメント・マネジメント株式会社,18
E12425,,5010001048652,フランクリン・テンプルトン・ジャパン株式会社,18
E03816,,3010401049814,株式会社ＳＢＩ証券,17
E06267,,,キャピタル・リサーチ・アンド・マネージメント・カンパニー,17
E12882,,7010001054095,農林中金全共連アセットマネジメント株式会社,16
E11764,,1010401064261,Ｔ＆Ｄアセットマネジメント株式会社,16
E14843,,,グローバル・ファンズ・マネジメント・エス・エー,16
E33344,,9310002010230,合同会社塩井興産,16
E10802,,2011001046046,モルガン・スタンレーＭＵＦＧ証券株式会社,15
E33958,,2010001185795,ティー・ロウ・プライス・ジャパン株式会社,15
E14703,,8010001014858,キャピタル・インターナショナル株式会社,14
E23594,,,マッコーリー　バンク　リミテッド,14
E32444,,4010001170135,マネックス・アセットマネジメント株式会社,14
E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,13
E31277,,3010401056026,ユナイテッド・マネージャーズ・ジャパン株式会社,13
E01244,54860,3010401038783,日立金属株式会社,13
E03400,27520,2120001093715,株式会社フジオフードグループ本社,13
E25830,,,クレディ・アグリコル・コーポレート・アンド・インベストメント・バンク,12
E24872,,,シルチェスター・インターナショナル・インベスターズ・エルエルピー,12
E10227,,9010401045023,ＳＢＩインベストメント株式会社,12
E12480,,7010001010313,アライアンス・バーンスタイン株式会社,12
E10840,,,塩井　辰男,12
E14601,,2010401079382,ＰａｙＰａｙアセットマネジメント株式会社,11
E30829,,,Ｊ．Ｐ．モルガン・マンサール・マネジメント・リミテッド,11
E31560,77800,7180001017589,株式会社メニコン,11
E30058,45880,4010401053237,オンコリスバイオファーマ株式会社,10
E35393,,1010401082024,株式会社シティインデックスイレブンス,10
E12450,,6010401037394,ラッセル・インベストメント株式会社,10
E03617,,5010001008813,株式会社三井住友銀行,10
E05062,43070,4010001054032,株式会社野村総合研究所,10
E21322,,7010401060899,株式会社トライステージ,10
E02498,80020,9010001008776,丸紅株式会社,10
E21902,22690,9010001123947,明治ホールディングス株式会社,10
E31851,45940,8290001050314,ブライトパス・バイオ株式会社,10
E01511,61580,2200001025263,株式会社和井田製作所,10
E01986,69320,3120001041581,株式会社遠藤照明,10
E00791,41020,5140001035506,丸尾カルシウム株式会社,10
E02889,75930,5180001094556,ＶＴホールディングス株式会社,9
E02492,78210,6210001003710,前田工繊株式会社,9
E36069,,,Ｌｏｎｇ　Ｃｏｒｒｉｄｏｒ　Ａｓｓｅｔ　Ｍａｎａｇｅｍｅｎｔ　Ｌｉｍｉｔｅｄ,9
E33868,65730,6011001056801,アジャイルメディア・ネットワーク株式会社,9
E37863,,7170001007450,株式会社三原色,9
E21671,,1010001082655,レオス・キャピタルワークス株式会社,8
E09037,,2010401050707,株式会社ウィズ・パートナーズ,8
E05716,21640,6040001020962,株式会社地域新聞社,8
E34225,43970,1010001116826,株式会社チームスピリット,8
E15214,,,ＢＮＹメロン・インターナショナル・マネジメント・リミテッド,8
E31555,,,中島　義兼,8
E36968,92490,8180001084777,日本エコシステム株式会社,8
E27325,,6011001091831,株式会社ストラテジックキャピタル,7
E38211,,,青柳　和洋,7
E11198,,9010401059056,ゴールドマン・サックス証券株式会社,7
E05159,84730,6010401045208,ＳＢＩホールディングス株式会社,7
E27280,36720,6011001065018,株式会社オルトプラス,7
E27917,,3010001124760,ファイブスター投信投資顧問株式会社,7
E03217,99830,9250001000684,株式会社ファーストリテイリング,7
E34363,78050,9340001008231,プリントネット株式会社,7
E05181,94460,4180001034595,株式会社サカイホールディングス,7
E33807,92700,6120001168182,バリュエンスホールディングス株式会社,7
E04848,96990,8120001086432,西尾レントオール株式会社,7
E34289,34980,3370103000741,霞ヶ関キャピタル株式会社,7
E31774,,6140001011258,明海興産株式会社,7
E30856,36910,8011001045298,株式会社デジタルプラス,7
E02672,81510,8010001051991,株式会社東陽テクニカ,7
E27230,,1010005019769,日本プロロジスリート投資法人,7
E02576,28740,1020001030638,横浜冷凍株式会社,7
E36733,43760,5010401163051,株式会社くふうカンパニー,7
E31533,,1020001108566,スカイオーシャン・アセットマネジメント株式会社,7
E05646,24980,5011001048948,株式会社オリエンタルコンサルタンツホールディングス,7
E21649,57240,7380001004435,株式会社アサカ理研,7
E05116,47760,5010001072207,サイボウズ株式会社,7
E30648,60940,2010401092006,株式会社フリークアウト・ホールディングス,7
E35933,,5010001203678,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,7
E01955,69650,2080401004193,浜松ホトニクス株式会社,7
E01225,54010,3010001008848,日本製鉄株式会社,6
E31883,,,Ｏａｓｉｓ　Ｍａｎａｇｅｍｅｎｔ　Ｃｏｍｐａｎｙ　Ｌｔｄ．,6
E00722,78700,2220001005602,福島印刷株式会社,6
E02896,76070,2180001000574,株式会社進和,6
E04760,43240,4010401048922,株式会社電通グループ,6
E34352,70410,7011101067961,ＣＲＧホールディングス株式会社,6
E20021,,6010001095702,ＪＰモルガン証券株式会社,6
E34379,70420,5010401081443,株式会社アクセスグループ・ホールディングス,6
E04691,96790,9010001108279,ホウライ株式会社,6
E35150,44750,2011001034562,ＨＥＮＮＧＥ株式会社,6
E05395,37260,7290001032701,株式会社フォーシーズＨＤ,6
E03471,30460,7070001001538,株式会社ジンズホールディングス,6
E05871,,,モルガン・スタンレー,6
E14714,,2010001090483,キャピタル　アセットマネジメント株式会社,6
E03538,,6120001076393,株式会社りそな銀行,6
E03850,,3010401050012,共栄火災海上保険株式会社,6
E09111,,,ベイリー・ギフォード・アンド・カンパニー,6
E02497,80010,7120001077358,伊藤忠商事株式会社,6
E06234,,9010401034513,タワー投資顧問株式会社,6
E33598,39990,5010401098909,ナレッジスイート株式会社,6
E05633,38140,1250001002936,株式会社アルファクス・フード・システム,6
E03628,,9010001034962,みずほ信託銀行株式会社,6
E04791,,5010401072079,三井住友ファイナンス＆リース株式会社,6
E32397,61990,1011101032087,株式会社セラク,6
E30969,36970,8010401073462,株式会社ＳＨＩＦＴ,6
E14984,,,インターナショナル・マネジメント・サービシズ・リミテッド,6
E00311,89040,8180001036547,株式会社ＡＶＡＮＴＩＡ,6
E24651,71480,3010001086522,株式会社ＦＰＧ,6
E35508,70910,4430001059195,株式会社リビングプラットフォーム,6
E09537,,,藤井　修逸,6
E32766,39700,5011001035806,株式会社イノベーション,6
E34944,29740,4290801010181,大英産業株式会社,6
E24991,49280,3140001034179,株式会社ノエビアホールディングス,6
E31678,,9010601038669,ちばぎんアセットマネジメント株式会社,6
E05419,24100,8010401008039,株式会社キャリアデザインセンター,6
E32909,,2010001155055,株式会社お金のデザイン,6
E14235,,9010001132378,ＴＯＲＡＮＯＴＥＣ投信投資顧問株式会社,6
E01301,57270,7021001007190,東邦チタニウム株式会社,6
E21391,32640,7011101028617,株式会社アスコット,6
E36635,40710,9010401068115,株式会社プラスアルファ・コンサルティング,6
E34095,14460,6010001162361,株式会社キャンディル,6
E05821,17730,,ワイ・ティー・エル・コーポレーション・バーハッド,6
E02858,75270,7290001017693,株式会社システムソフト,6
E05169,48290,3011001033976,日本エンタープライズ株式会社,6
E04978,46640,8013301006491,株式会社アール・エス・シー,6
E35316,,,山川　雅之,6
E24736,,,ウエスタン・アセット・マネジメント・カンパニー・リミテッド,6
E22200,,,シティグループ・ファースト・インベストメント・マネジメント・リミテッド,6
E33000,35630,8120901035199,株式会社ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,6
E02470,78390,5010501005434,株式会社ＳＨＯＥＩ,6
E01833,,3010701003801,株式会社サンコーシヤ,6
E05510,37770,9010501033506,株式会社ＦＨＴホールディングス,6
E24347,,7010005014863,アドバンス・レジデンス投資法人,6
E34973,41650,7010401096035,株式会社プレイド,5
E04147,90200,9011001029597,東日本旅客鉄道株式会社,5
E13678,,8010005006554,グローバル・ワン不動産投資法人,5
E31441,34580,7010001129517,株式会社シーアールイー,5
E26703,36650,8010401088452,株式会社エニグモ,5
E35979,,,Ｎａｔｉｏｎａｌ　Ｉｎｄｅｍｎｉｔｙ　Ｃｏｍｐａｎｙ,5
E35157,70720,4010001154311,株式会社インティメート・マージャー,5
E33997,,,竹林　俊介,5
E04221,90360,9020001023915,東部ネットワーク株式会社,5
E00723,94760,1010001022710,株式会社中央経済社ホールディングス,5
E34539,,,ハイツ・キャピタル・マネジメント・インク,5
E02340,77300,4060001005922,マニー株式会社,5
E31776,61760,4011001035708,株式会社ブランジスタ,5
E15786,,2120001113885,クローバー・アセットマネジメント株式会社,5
E15692,,,ビザ・インク（Ｖｉｓａ　Ｉｎｃ．）,5
E37833,50360,4010401041588,日本ビジネスシステムズ株式会社,5
E36661,41990,3180001106874,ワンダープラネット株式会社,5
E05622,38150,6010401040811,株式会社メディア工房,5
E24998,36470,7010401094468,株式会社ジー・スリーホールディングス,5
E03611,83090,9010001139555,三井住友トラスト・ホールディングス株式会社,5
E36070,40150,7010401068488,アララ株式会社,5
E37098,92520,2010001147267,株式会社ラストワンマイル,5
E02092,66680,2240001029764,株式会社アドテックプラズマテクノロジー,5
E26579,31740,4040001063955,株式会社ハピネス・アンド・ディ,5
E33040,39850,4010601036512,テモナ株式会社,5
E05268,43460,1011001017948,株式会社ネクシィーズグループ,5
E03305,75810,8030001065552,株式会社サイゼリヤ,5
E38205,,9010901033015,株式会社スマートドライブ,5
E34739,44400,9180001045035,株式会社ヴィッツ,5
E31734,,,ＣＴ　ＢＲＩＧＨＴ　ＨＯＬＤＩＮＧＳ　ＬＩＭＩＴＥＤ,5
E32255,,,Ｂｌａｃｋ　Ｃｌｏｖｅｒ　Ｌｉｍｉｔｅｄ,5
E05409,24040,5013201010877,株式会社鉄人化計画,5
E30992,,,ルクセンブルク三菱ＵＦＪインベスターサービス銀行Ｓ．Ａ．,5
E34254,,3010001188789,ａｕアセットマネジメント株式会社,5
E14837,,,アライアンス・バーンスタインＳＩＣＡＶ,5
E32220,61920,8010401064032,ハイアス・アンド・カンパニー株式会社,5
E36795,43700,6010401095847,モビルス株式会社,5
E36351,41760,9010701026061,株式会社ココナラ,5
