ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
E01111,内国法人・組合,上場,有,8060, 3月31日,ニッタ株式会社,Nitta Corporation,ニッタカブシキガイシャ,大阪市浪速区桜川四丁目４番２６号,ゴム製品,51860,4120001039435
E01112,内国法人・組合,上場,有,3364, 3月31日,西川ゴム工業株式会社,"NISHIKAWA RUBBER CO., LTD.",ニシカワゴムコウギョウカブシキガイシャ,広島市西区三篠町２丁目２番８号,ゴム製品,51610,8240001008325
E01113,内国法人・組合,上場,有,1395, 3月31日,株式会社フコク,"FUKOKU CO.,LTD.",カブシキガイシャフコク,上尾市菅谷三丁目１０５番地,ゴム製品,51850,5030001044311
E01114,内国法人・組合,上場,有,2158,12月31日,株式会社ニチリン,"NICHIRIN CO., LTD.",カブシキガイシャニチリン,神戸市中央区江戸町９８番地１,ゴム製品,51840,1140001010033
E01115,内国法人・組合,上場,有,516, 3月31日,株式会社朝日ラバー,ASAHI RUBBER INC.,カブシキガイシャアサヒラバー,さいたま市大宮区土手町２丁目７番２,ゴム製品,51620,9030001000319
E01118,内国法人・組合,上場,有,5355, 3月31日,株式会社リーガルコーポレーション,REGAL CORPORATION,カブシキガイシャ　リーガルコーポレーション,浦安市日の出二丁目１番８号,その他製品,79380,4040001034188
E01120,内国法人・組合,上場,有,4404, 3月31日,株式会社ニッピ,"Nippi,Incorporated",カブシキガイシャニッピ,足立区千住緑町１－１－１,その他製品,79320,7011801011046
E01121,内国法人・組合,上場,有,116750, 3月31日,日本板硝子株式会社,"Nippon Sheet Glass Company,Limited",ニホンイタガラスカブシキガイシャ,港区三田三丁目５番２７号,ガラス・土石製品,52020,4010401054474
E01122,内国法人・組合,上場,有,90873,12月31日,ＡＧＣ株式会社,AGC Inc.,エイジーシーカブシキガイシャ,千代田区丸の内一丁目５番１号新丸の内ビルディング,ガラス・土石製品,52010,2010001008650
E01123,内国法人・組合,上場,有,6344, 3月20日,石塚硝子株式会社,"ISHIZUKA GLASS CO.,LTD.",イシヅカガラスカブシキガイシャ,岩倉市川井町１８８０番地,ガラス・土石製品,52040,4180001088187
E01124,内国法人・組合,上場,有,6264, 3月31日,ＨＯＹＡ株式会社,HOYA CORPORATION,ホウヤカブシキガイシャ,新宿区西新宿六丁目１０番１号,精密機器,77410,7011101019599
E01126,内国法人・組合,上場,有,14074, 3月31日,日本山村硝子株式会社,"Nihon Yamamura Glass Co., Ltd.",ニホンヤマムラガラスカブシキガイシャ,尼崎市西向島町１５番１,ガラス・土石製品,52100,1140001054947
E01127,内国法人・組合,上場,有,41654, 3月31日,住友大阪セメント株式会社,"Sumitomo Osaka Cement Co.,Ltd.",スミトモオオサカセメントカブシキカイシャ,港区東新橋一丁目９番２号,ガラス・土石製品,52320,5010001023779
E01130,内国法人・組合,上場,有,86174, 3月31日,太平洋セメント株式会社,TAIHEIYO CEMENT CORPORATION,タイヘイヨウセメントカブシキガイシャ,文京区小石川一丁目１番１号,ガラス・土石製品,52330,4010401082995
E01131,内国法人・組合,上場,有,704, 3月31日,日本坩堝株式会社,"Nippon Crucible co.,Ltd.",ニホンルツボカブシキガイシャ,渋谷区恵比寿１－２１－３,ガラス・土石製品,53550,9011001018113
E01135,内国法人・組合,上場,有,3470, 3月31日,ニッコー株式会社,NIKKO COMPANY,ニッコーカブシキガイシャ,白山市相木町３８３番地,ガラス・土石製品,53430,2220001008794
